,RES1 Smith And Morehouse.Storage,RES2 Rockport.Storage,RES3 Echo.Storage,RES4 Lost Creek.Storage,RES5 East Canyon.Storage,RES6 Causey.Storage,RES7 Pineview.Storage,RES8 Willard Bay.Storage,RES9 Gravel Pit.Storage,RES10 Chalk Creek.Storage,Protected Pools.Pineview,Protected Pools.East Canyon,Weber Provo Diversion:SA1 Weber Provo Canal.Diversion,Oakley Diversion:SA2 Oakley to Wanship.Diversion,Wanship Diversion:SA3 Wanship to Echo.Diversion,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion,Lost Creek Diversion:SA5 Lost Creek.Diversion,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion,Park City Diversion:SA7 Park City.Diversion,East Canyon Diversion:SA8 East Canyon.Diversion,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion,Gateway Canal Diversion:SA10 Gateway Canal.Diversion,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion,Slaterville Diversion:SA15 Slaterville.Diversion,Warren Canal Diversion:SA16 Warren Canal.Diversion,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion,GSL Minerals Diversion:SA18 GSL Minerals.Diversion,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion,Weber Provo Diversion:SA1 Weber Provo Canal.Diversion Requested,Oakley Diversion:SA2 Oakley to Wanship.Diversion Requested,Wanship Diversion:SA3 Wanship to Echo.Diversion Requested,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion Requested,Lost Creek Diversion:SA5 Lost Creek.Diversion Requested,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion Requested,Park City Diversion:SA7 Park City.Diversion Requested,East Canyon Diversion:SA8 East Canyon.Diversion Requested,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion Requested,Gateway Canal Diversion:SA10 Gateway Canal.Diversion Requested,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion Requested,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion Requested,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion Requested,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion Requested,Slaterville Diversion:SA15 Slaterville.Diversion Requested,Warren Canal Diversion:SA16 Warren Canal.Diversion Requested,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion Requested,GSL Minerals Diversion:SA18 GSL Minerals.Diversion Requested,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion Requested,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion Requested,Chalk Creek and Weber River Confluence.Inflow1,Davis Weber Canal Sources Confluence.Inflow1,East Canyon Creek and Weber River Confluence.Inflow1,Independent Streams Confluence.Inflow1,Lost Creek and Weber River Confluence.Inflow1,Ogden and Weber River Confluence.Inflow1,Q11 Reach Gain Confluence.Inflow1,Q20 Reach Gain Confluence.Inflow1,Q37 Reach Gain Confluence.Inflow1,Q46 Reach Gain Confluence.Inflow1,Q53 Reach Gain Confluence.Inflow1,Q57 Reach Gain Confluence.Inflow1,Q68 Sewage Outfall Confluence.Inflow1,Q8 Reach Gain Confluence.Inflow1,Q81 Reach Gain Confluence.Inflow1,Q82 Reach Gain Confluence.Inflow1,Smith And Morehouse and Weber River Confluence.Inflow1,Wells Confluence.Inflow1,Wheeler Creek and Ogden River Confluence.Inflow1,Willard Bay Releases and Weber River Confluence.Inflow1,Chalk Creek and Weber River Confluence.Inflow2,Davis Weber Canal Sources Confluence.Inflow2,East Canyon Creek and Weber River Confluence.Inflow2,Independent Streams Confluence.Inflow2,Lost Creek and Weber River Confluence.Inflow2,Ogden and Weber River Confluence.Inflow2,Q11 Reach Gain Confluence.Inflow2,Q20 Reach Gain Confluence.Inflow2,Q37 Reach Gain Confluence.Inflow2,Q46 Reach Gain Confluence.Inflow2,Q53 Reach Gain Confluence.Inflow2,Q57 Reach Gain Confluence.Inflow2,Q68 Sewage Outfall Confluence.Inflow2,Q8 Reach Gain Confluence.Inflow2,Q81 Reach Gain Confluence.Inflow2,Q82 Reach Gain Confluence.Inflow2,Smith And Morehouse and Weber River Confluence.Inflow2,Wells Confluence.Inflow2,Wheeler Creek and Ogden River Confluence.Inflow2,Willard Bay Releases and Weber River Confluence.Inflow2,Chalk Creek and Weber River Confluence.Outflow,Davis Weber Canal Sources Confluence.Outflow,East Canyon Creek and Weber River Confluence.Outflow,Independent Streams Confluence.Outflow,Lost Creek and Weber River Confluence.Outflow,Ogden and Weber River Confluence.Outflow,Q11 Reach Gain Confluence.Outflow,Q20 Reach Gain Confluence.Outflow,Q37 Reach Gain Confluence.Outflow,Q46 Reach Gain Confluence.Outflow,Q53 Reach Gain Confluence.Outflow,Q57 Reach Gain Confluence.Outflow,Q68 Sewage Outfall Confluence.Outflow,Q8 Reach Gain Confluence.Outflow,Q81 Reach Gain Confluence.Outflow,Q82 Reach Gain Confluence.Outflow,Smith And Morehouse and Weber River Confluence.Outflow,Wells Confluence.Outflow,Wheeler Creek and Ogden River Confluence.Outflow,Willard Bay Releases and Weber River Confluence.Outflow,WBWCD ASR.Inflow,WBWCD ASR.Outflow,WBWCD ASR.Percolation,WBWCD ASR.Pumped Flow,WBWCD ASR.Storage,New Res Confluence.Inflow1,New Res Confluence.Inflow2,New Res Confluence.Outflow
10/1/1980,1843.488403,43106.85399,21322.4591,13096.5494,34019.03758,2509.708512,53188.89075,133719.7868,NaN,NaN,NaN,NaN,1525.264003,81.2,127,19.6,0,0,0,0,0,5050,5775,0,113.0943959,0,3075,232,7260,1197,486,0,1525.264003,81.2,127,19.6,0,0,0,0,0,5050,5775,0,1032,267,3075,232,7260,1197,486,0,5515.148302,5775,450,4836.031811,0,235.0806128,3000,0,750,1275.41878,600,1714.58728,5492,3188.17491,835.0806128,3573.094814,4344.638912,3746.031811,486.9056041,3180.409174,1560.057725,0,300,213.9681888,450,600,2515.148302,0,4271.450591,5220.661833,1114.58728,0,2000,1832.949972,2345.328561,1918.905186,450,1090,113.0943959,3467.68564,7075.206026,5775,750,5050,450,835.0806128,5515.148302,0,5021.450591,6496.080613,1714.58728,1714.58728,7492,5021.124881,3180.409174,5492,4794.638912,4836.031811,600,6648.094814,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
11/1/1980,2384.473236,46623.81049,29639.5574,14007.01487,36300.43186,3578.411337,55577.76943,139141.6154,NaN,NaN,NaN,NaN,1686.898311,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,1686.898311,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,6040.944111,0,4156.441023,2779.847737,3706.441023,12580.95838,3000,0,4456.441023,7754.407577,600,2270.651624,6954,3395.111226,13401.82859,6954,4632.009537,849.8477372,600,6954,2276.154184,0,300,250.1522628,450,820.8702095,3040.944111,3706.441023,4147.814291,5069.5508,1670.651624,718.2270543,2000,3121.845276,0,0,450,1930,220.8702095,0,8317.098295,0,4456.441023,3030,4156.441023,13401.82859,6040.944111,3706.441023,8604.255314,12823.95838,2270.651624,2988.878679,8954,6516.956502,13401.82859,6954,5082.009537,2779.847737,820.8702095,6954,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
12/1/1980,2894.961003,50530.11952,39554.36878,15289.07538,38507.28607,4564.646053,57403.49375,148312.4866,NaN,NaN,NaN,NaN,1541.70874,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,1541.70874,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,7848.061966,0,2191.676718,2862.543243,1741.676718,10667.02775,3000,0,2491.676718,5673.535899,600,2425.724322,1569.5,3086.832626,11475.67119,1569.5,4178.541366,1102.543243,600,1569.5,2066.749414,0,300,167.4567565,450,808.6434411,4848.061966,1741.676718,4284.402424,5236.491852,1825.724322,0,2000,3819.476399,0,0,450,1760,208.6434411,0,9914.81138,0,2491.676718,3030,2191.676718,11475.67119,7848.061966,1741.676718,6776.079142,10910.02775,2425.724322,2425.724322,3569.5,6906.309025,11475.67119,1569.5,4628.541366,2862.543243,808.6434411,1569.5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1/1/1981,3714.558978,53695.91119,47282.15186,16319.68838,40689.27783,5525.889957,59396.44201,167111.7044,NaN,NaN,NaN,NaN,1379.722784,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,1379.722784,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,5717.706233,0,4472.434038,1860.059132,4022.434038,13408.52986,3000,0,4772.434038,8070.144637,600,2592.948256,4268.773255,2399.755188,14265.82826,0,3329.477972,1070.059132,600,0,2010.076847,0,300,159.9408682,450,857.2983991,2717.706233,4022.434038,4367.769731,5338.385226,1992.948256,0,2000,3766.036487,5217.389533,4268.773255,450,790,257.2983991,0,7727.78308,0,4772.434038,2020,4472.434038,14265.82826,5717.706233,4022.434038,9140.203769,13408.52986,2592.948256,2592.948256,6268.773255,6165.791675,19483.2178,4268.773255,3779.477972,1860.059132,857.2983991,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
2/1/1981,4205.441459,56826.52305,55226.17175,17776.1487,43764.91,6835.499211,63679.47902,195807.4986,NaN,NaN,NaN,NaN,1315.011504,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,1315.011504,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,5449.717317,0,6272.481571,2819.144536,5822.481571,27850.53521,3000,0,6572.481571,14993.07622,600,4883.037012,0,2577.477695,29379.79415,0,3442.489199,2099.144536,600,0,2494.302581,0,300,210.8554637,450,1529.258938,2449.717317,5822.481571,10519.73918,12857.459,4283.037012,0,2000,3553.134162,0,0,450,720,929.2589377,0,7944.019897,0,6572.481571,3030,6272.481571,29379.79415,5449.717317,5822.481571,17092.22075,27850.53521,4883.037012,4883.037012,2000,6130.611857,29379.79415,0,3892.489199,2819.144536,1529.258938,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
3/1/1981,5063.953019,61260,70975.6224,19389.95679,49642.36217,7870,82548.69019,227302.038,NaN,NaN,NaN,NaN,1944.624456,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,1944.624456,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,11481.84954,0,10724.40026,2809.251302,10274.40026,36638.81095,5901.358136,0,11024.40026,21368.79685,2062.522974,8556.855717,0,3678.945505,38489.3111,0,5173.569961,2149.251302,600,0,4267.601103,0,300,220.7486984,450,1850.500149,5580.491408,10274.40026,12493.6479,15270.0141,6494.332743,10912.35545,2000,6655.889583,0,0,450,660,1250.500149,0,15749.45065,0,11024.40026,3030,10724.40026,38489.3111,11481.84954,10274.40026,23518.04815,36638.81095,8556.855717,19469.21117,2000,10334.83509,38489.3111,0,5623.569961,2809.251302,1850.500149,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
4/1/1981,8350,61260,73940,22510,51200,7870,110150,227302.9322,NaN,NaN,66150,22400,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,80721.23946,1650,205025.8347,4721.481649,191494.1691,281845.2125,35552.0024,96975.04217,222098.4952,248307.2031,15668.59907,44984.34002,278239.9344,28765.75635,338769.0666,278239.9344,22833.69995,2581.481649,53580.20681,279264.9344,19304.53154,0,17072.66049,328.5183512,13780.66556,56923.85409,45169.23705,94519.12697,28790.18955,35188.00945,29315.74095,36703.3798,2000,6916.144347,0,0,5932.056404,2140,3610.647276,0,100025.771,1650,222098.4952,5050,205274.8347,338769.0666,80721.23946,191494.1691,250888.6847,283495.2125,44984.34002,81687.71982,280239.9344,35681.9007,338769.0666,278239.9344,28765.75635,4721.481649,57190.85409,279264.9344,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
5/1/1981,8350,61260,73940,22510,51200,7870,110150,227304.0506,NaN,NaN,66150,22400,14343.82411,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,14343.82411,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,31930.81535,10725,79260.73526,8688.046351,78000.33944,128637.3361,28148.06187,47032.59327,86348.13124,107652.8479,15496.90853,19414.42569,85965.88715,22478.50293,160778.4905,85965.88715,35033.19276,7008.046351,33986.19208,99290.88715,17254.77792,0,7087.395983,401.9536492,5742.395823,32141.15436,3782.753482,30967.74617,28528.76304,34868.48816,8989.517157,18930.56638,2000,9107.553248,0,0,12751.13428,1680,2159.962279,0,49185.59327,10725,86348.13124,9090,83742.73526,160778.4905,31930.81535,78000.33944,114876.8943,142521.3361,24486.42569,38344.99208,87965.88715,31586.05618,160778.4905,85965.88715,47784.32704,8688.046351,36146.15436,99290.88715,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
6/1/1981,7755.364574,56028.98712,60127.05957,20563.72103,43811.27685,2353.723639,85164.03312,215629.0835,NaN,NaN,52121.72318,20009.87515,5688.543192,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,5688.543192,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,3102.156774,14025,14329.35782,13622.47425,20056.35782,5010.985967,3000,14535.10616,19340.34379,14638.97193,5790.218219,0,6587.5,1.86639E-12,19359.75291,3977.297837,14323.63114,11572.47425,19523.21891,22550,510.7230636,0,5010.985967,517.5257533,0,14348.76694,102.1567736,5521.251658,7375.102391,9014.014033,1500.781781,1446.211538,5000,2744.970743,3190.247088,2610.202163,5168.912054,2050,165.5480325,3977.297837,3612.879837,14025,19340.34379,14140,20056.35782,19359.75291,3102.156774,20056.35782,26715.44618,23652.98597,7291,1446.211538,11587.5,2744.970743,22550,6587.5,19492.54319,13622.47425,19688.76694,26527.29784,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
7/1/1981,3605.955572,50524.23959,29705.25452,18714.25228,31694.14294,1000.000001,56333.27889,199597.2823,NaN,NaN,38143.78092,17940.83806,2085.728401,8932,2921,2058,2236,5229,1320,2600,414,20200,18975,3751.958201,8944,6141,22550,5800,4900.5,3078,6075,0,2085.728401,8932,2921,2058,2236,5229,1320,2600,414,20200,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,3625.431886,18975,26945.75213,19920.73836,32174.75213,10071.05757,3000,32174.75213,37016.80971,26217.11515,2976.831311,0,5700.5,0,23350,5700.5,6009.679979,17670.73836,19283.45679,23350,840.3639926,0,10071.05757,279.2616362,0,13278.94243,625.4318858,0,7285.043804,8903.942427,775.1268902,751.2531338,5000,2306.01832,0,0,5008.048422,2250,136.4856395,4900.5,4465.795878,18975,37016.80971,20200,32174.75213,23350,3625.431886,32174.75213,44301.85351,35121.05757,3751.958201,751.2531338,10700.5,2306.01832,23350,5700.5,11017.7284,19920.73836,19419.94243,28250.5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
