,RES1 Smith And Morehouse.Storage,RES2 Rockport.Storage,RES3 Echo.Storage,RES4 Lost Creek.Storage,RES5 East Canyon.Storage,RES6 Causey.Storage,RES7 Pineview.Storage,RES8 Willard Bay.Storage,RES9 Gravel Pit.Storage,RES10 Chalk Creek.Storage,Protected Pools.Pineview,Protected Pools.East Canyon,Weber Provo Diversion:SA1 Weber Provo Canal.Diversion,Oakley Diversion:SA2 Oakley to Wanship.Diversion,Wanship Diversion:SA3 Wanship to Echo.Diversion,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion,Lost Creek Diversion:SA5 Lost Creek.Diversion,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion,Park City Diversion:SA7 Park City.Diversion,East Canyon Diversion:SA8 East Canyon.Diversion,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion,Gateway Canal Diversion:SA10 Gateway Canal.Diversion,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion,Slaterville Diversion:SA15 Slaterville.Diversion,Warren Canal Diversion:SA16 Warren Canal.Diversion,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion,GSL Minerals Diversion:SA18 GSL Minerals.Diversion,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion,Weber Provo Diversion:SA1 Weber Provo Canal.Diversion Requested,Oakley Diversion:SA2 Oakley to Wanship.Diversion Requested,Wanship Diversion:SA3 Wanship to Echo.Diversion Requested,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion Requested,Lost Creek Diversion:SA5 Lost Creek.Diversion Requested,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion Requested,Park City Diversion:SA7 Park City.Diversion Requested,East Canyon Diversion:SA8 East Canyon.Diversion Requested,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion Requested,Gateway Canal Diversion:SA10 Gateway Canal.Diversion Requested,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion Requested,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion Requested,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion Requested,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion Requested,Slaterville Diversion:SA15 Slaterville.Diversion Requested,Warren Canal Diversion:SA16 Warren Canal.Diversion Requested,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion Requested,GSL Minerals Diversion:SA18 GSL Minerals.Diversion Requested,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion Requested,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion Requested,Chalk Creek and Weber River Confluence.Inflow1,Davis Weber Canal Sources Confluence.Inflow1,East Canyon Creek and Weber River Confluence.Inflow1,Independent Streams Confluence.Inflow1,Lost Creek and Weber River Confluence.Inflow1,Ogden and Weber River Confluence.Inflow1,Q11 Reach Gain Confluence.Inflow1,Q20 Reach Gain Confluence.Inflow1,Q37 Reach Gain Confluence.Inflow1,Q46 Reach Gain Confluence.Inflow1,Q53 Reach Gain Confluence.Inflow1,Q57 Reach Gain Confluence.Inflow1,Q68 Sewage Outfall Confluence.Inflow1,Q8 Reach Gain Confluence.Inflow1,Q81 Reach Gain Confluence.Inflow1,Q82 Reach Gain Confluence.Inflow1,Smith And Morehouse and Weber River Confluence.Inflow1,Wells Confluence.Inflow1,Wheeler Creek and Ogden River Confluence.Inflow1,Willard Bay Releases and Weber River Confluence.Inflow1,Chalk Creek and Weber River Confluence.Inflow2,Davis Weber Canal Sources Confluence.Inflow2,East Canyon Creek and Weber River Confluence.Inflow2,Independent Streams Confluence.Inflow2,Lost Creek and Weber River Confluence.Inflow2,Ogden and Weber River Confluence.Inflow2,Q11 Reach Gain Confluence.Inflow2,Q20 Reach Gain Confluence.Inflow2,Q37 Reach Gain Confluence.Inflow2,Q46 Reach Gain Confluence.Inflow2,Q53 Reach Gain Confluence.Inflow2,Q57 Reach Gain Confluence.Inflow2,Q68 Sewage Outfall Confluence.Inflow2,Q8 Reach Gain Confluence.Inflow2,Q81 Reach Gain Confluence.Inflow2,Q82 Reach Gain Confluence.Inflow2,Smith And Morehouse and Weber River Confluence.Inflow2,Wells Confluence.Inflow2,Wheeler Creek and Ogden River Confluence.Inflow2,Willard Bay Releases and Weber River Confluence.Inflow2,Chalk Creek and Weber River Confluence.Outflow,Davis Weber Canal Sources Confluence.Outflow,East Canyon Creek and Weber River Confluence.Outflow,Independent Streams Confluence.Outflow,Lost Creek and Weber River Confluence.Outflow,Ogden and Weber River Confluence.Outflow,Q11 Reach Gain Confluence.Outflow,Q20 Reach Gain Confluence.Outflow,Q37 Reach Gain Confluence.Outflow,Q46 Reach Gain Confluence.Outflow,Q53 Reach Gain Confluence.Outflow,Q57 Reach Gain Confluence.Outflow,Q68 Sewage Outfall Confluence.Outflow,Q8 Reach Gain Confluence.Outflow,Q81 Reach Gain Confluence.Outflow,Q82 Reach Gain Confluence.Outflow,Smith And Morehouse and Weber River Confluence.Outflow,Wells Confluence.Outflow,Wheeler Creek and Ogden River Confluence.Outflow,Willard Bay Releases and Weber River Confluence.Outflow,WBWCD ASR.Inflow,WBWCD ASR.Outflow,WBWCD ASR.Percolation,WBWCD ASR.Pumped Flow,WBWCD ASR.Storage
10/1/1980,1554.069544,42303.93357,19458.60276,12572.28603,33978.30474,1376.019404,53991.38864,133478.4568,NaN,NaN,NaN,NaN,1152,81.2,127,19.6,0,0,0,0,0,5050,5775,0,82.5,1.20538E-13,3075,232,7260,1197,486,0,1152,81.2,127,19.6,0,0,0,0,0,5050,5775,0,1032,267,3075,232,7260,1197,486,0,3922.766865,5775,1068.674851,4754,618.674851,3.25452E-12,3000,162.9112406,1368.674851,1555.021168,600,2517.811605,5492,2606.8,600,3575.926965,3433.000284,3664,517.5,2941.867043,1450,0,300,296,450,600,922.7668648,455.7636104,3850.346317,4705.978832,1917.811605,0,2000,1610.969347,2341.867043,1916.073035,406.9997157,1090,82.5,3709.059922,5372.766865,5775,1368.674851,5050,1068.674851,600,3922.766865,618.674851,5219.021168,6261,2517.811605,2517.811605,7492,4217.769347,2941.867043,5492,3840,4754,600,6650.926965,NaN,NaN,0,NaN,NaN
11/1/1980,1554.069544,44568.51226,25310.43181,12843.63588,35438.30474,1776.019404,56230.90854,136017.246,NaN,NaN,NaN,NaN,1101,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,1101,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0,4496.82905,0,2031.769248,2827,1581.769248,6993.011663,3000,0,2331.769248,4045.328335,600,2037.986289,6954,2569,7654.911663,5665.255127,3253.624999,897,600,5665.255127,1355,0,300,203,450,661.9,1496.82905,1581.769248,2610.559087,3190.683328,1437.986289,801.5336099,2000,2695.57869,1575.132623,1288.744873,416.375001,1930,61.9,0,5851.82905,0,2331.769248,3030,2031.769248,7654.911663,4496.82905,1581.769248,4942.328335,7236.011663,2037.986289,2839.519899,8954,5264.57869,9230.044286,6954,3670,2827,661.9,5665.255127,NaN,NaN,0,NaN,NaN
12/1/1980,1581.852171,47534.78888,31265.09849,13380.05676,37160.30474,2236.019404,57947.23386,143553.4238,NaN,NaN,NaN,NaN,1068,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,1068,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0,4655.666681,0,2095.135437,2640,1645.135437,7146.988624,3000,0,2395.135437,4158.819371,600,2245.299762,1569.5,2464.217373,7808.788624,655.0148516,3082.217373,880,600,655.0148516,1299,0,300,390,450,661.8,1655.666681,1645.135437,2643.683934,3231.169253,1645.299762,71.0255572,2000,3502.059252,1117.70407,914.4851484,450,1760,61.8,0,5954.666681,0,2395.135437,3030,2095.135437,7808.788624,4655.666681,1645.135437,5038.819371,7389.988624,2245.299762,2316.325319,3569.5,5966.276625,8926.492694,1569.5,3532.217373,2640,661.8,655.0148516,NaN,NaN,0,NaN,NaN
1/1/1981,1581.852171,49876.21062,36405.055,13759.95442,38680.30474,2256.019404,60588.61191,154105.4264,NaN,NaN,NaN,NaN,912,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,912,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0,4094.956512,0,2630.122514,1728,2180.122514,5948.846603,3000,0,2930.122514,3772.648354,600,2543.894185,3794.28212,2128,6598.546603,0,2699.570922,938,600,0,1045,0,300,292,450,649.7,1094.956512,2180.122514,1780.52584,2176.198249,1943.894185,697.4838659,2000,3213.421737,4637.455924,3794.28212,340.4290783,790,49.7,0,5139.956512,0,2930.122514,2020,2630.122514,6598.546603,4094.956512,2180.122514,4710.648354,5948.846603,2543.894185,3241.37805,5794.28212,5341.421737,11236.00253,3794.28212,3040,1728,649.7,0,NaN,NaN,0,NaN,NaN
2/1/1981,1581.852171,51741.81369,41601.54992,14102.9708,40209.30474,2276.019404,63387.08293,164219.9028,NaN,NaN,NaN,NaN,825,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,825,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0,3928.494915,0,2294.032433,2808,1844.032433,5396.918061,3000,0,2594.032433,2706.930965,600,2393.587793,3886.984122,1925,6047.718061,0,2427.836626,2088,600,0,1268,0,300,222,450,650.8,928.494915,1844.032433,2200.898532,2689.987095,1793.587793,1004.883228,2000,2940.603073,4750.758371,3886.984122,322.1633743,720,50.8,0,5196.494915,0,2594.032433,3030,2294.032433,6047.718061,3928.494915,1844.032433,4794.930965,5396.918061,2393.587793,3398.47102,5886.984122,4865.603073,10798.47643,3886.984122,2750,2808,650.8,0,NaN,NaN,0,NaN,NaN
3/1/1981,1581.852171,56614.19299,47394.12371,14737.14128,42535.30474,2406.019404,74348.70601,183391.6468,NaN,NaN,NaN,NaN,981,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,981,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0,4068.573791,0,4528.038055,2780,4078.038055,9651.914494,3000,0,4828.038055,5832.782452,600,4192.704592,7886.752187,2289,10414.31449,0,2963.794301,2120,600,0,1724,0,300,250,450,762.4,1068.573791,4078.038055,3124.744398,3819.132042,3592.704592,7368.918482,2000,5583.379295,9639.363785,7886.752187,306.2056987,660,162.4,0,5792.573791,0,4828.038055,3030,4528.038055,10414.31449,4068.573791,4078.038055,7952.782452,9651.914494,4192.704592,11561.62307,9886.752187,7872.379295,20053.67828,7886.752187,3270,2780,762.4,0,NaN,NaN,0,NaN,NaN
4/1/1981,3683.671561,61260,71239.42317,18511.09196,45889.81839,4331.269444,108082.7764,225067.7329,NaN,NaN,64083.47617,17089.81839,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,0,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0,16577.80401,1650,25379.47258,4495,25178.47258,29611.25604,10878.84011,0,25549.47258,26824.52514,600,14033.07289,11998.02306,9268.18061,30211.25604,9.2153E-12,8818.18061,2355,256.7,1025,7345,0,170,555,450,600,5698.9639,25178.47258,3630.052553,4436.730898,13433.07289,20458.39893,2000,6384.94991,14664.25041,11998.02306,450,2140,610.3,0,23922.80401,1650,25549.47258,5050,25628.47258,30211.25604,16577.80401,25178.47258,29179.52514,31261.25604,14033.07289,34491.47183,13998.02306,15653.13052,44875.50644,11998.02306,9268.18061,4495,867,1025,NaN,NaN,0,NaN,NaN
5/1/1981,8350.000002,61260,73940,18736.07926,47582.53085,5331.074381,110150,247302,NaN,NaN,66150,18780.55228,9402,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,9402,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,8420.403861,10725,31822.36674,8741,36304.36674,50591.83065,8420.403861,17834.70816,31822.36674,42514.0755,600,8067.088022,11200.5,6284.622991,64093.01312,4335.082566,22553.52707,7061,15528.68247,17660.08257,14265,0,0,349,0,13501.18247,0,18469.65858,17968.70876,21961.75515,12539.08802,13885.07653,2000,5573.775176,8391.065753,6865.417434,4095.095917,1680,1977.5,0,22685.40386,10725,31822.36674,9090,36304.36674,64093.01312,8420.403861,36304.36674,49791.0755,64475.83065,13139.08802,21952.16455,13200.5,11858.39817,72484.07887,11200.5,26648.62299,8741,17506.18247,17660.08257,NaN,NaN,0,NaN,NaN
6/1/1981,8350,61260,73940,18917.07507,47737.32724,6057.450245,106871.2488,247302,NaN,NaN,66150,18932.38147,13101,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,13101,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,22400.48196,14025,31195.75834,13534,36922.75834,20330.853,19996.67072,27383.03196,31195.75834,28102.05093,600,622.4430565,9982.752707,16700.04001,20930.853,0,32841.38036,11484,4963.1,22550,7902,0,0,606,0,600,2403.811246,9539.726373,8894.292598,10870.80206,7313.443057,8022.905387,5000,8282.969609,12201.1422,9982.752707,10763.65965,2050,976.9,0,30302.48196,14025,31195.75834,14140,36922.75834,20930.853,22400.48196,36922.75834,40090.05093,38972.853,7913.443057,8645.348444,14982.75271,24983.00962,33131.9952,9982.752707,43605.04001,13534,5940,22550,NaN,NaN,0,NaN,NaN
7/1/1981,5117.677574,56497.94689,37027.84234,17243.17215,30872.6848,1444.372465,90260.60485,236114.9176,NaN,NaN,64412.05272,16542.09912,2481,8932,2921,2058,2236,5229,1320,2600,414,20200,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,2481,8932,2921,2058,2236,5229,1320,2600,414,20200,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,3579.907666,18975,35034.26724,19927,40263.26724,14516.29698,3000,39320.31479,49550.56422,35107.59396,6195.124729,0,5700.5,0,15626.96438,36.19812959,6998.031697,17677,7087.2674,22550,1617,0,14516.29698,273,0,1110.6674,579.9076655,942.9524435,3648.029743,4458.703019,1444.575271,1032.257699,5000,3082.610909,6923.035619,5664.30187,4414.968303,2250,164.4,36.19812959,5196.907666,18975,49550.56422,20200,40263.26724,15626.96438,3579.907666,40263.26724,53198.59396,39566.29698,7639.7,1032.257699,10700.5,3082.610909,22550,5700.5,11413,19927,7251.6674,22586.19813,NaN,NaN,0,NaN,NaN
