,RES1 Smith And Morehouse.Storage,RES2 Rockport.Storage,RES3 Echo.Storage,RES4 Lost Creek.Storage,RES5 East Canyon.Storage,RES6 Causey.Storage,RES7 Pineview.Storage,RES8 Willard Bay.Storage,RES9 Gravel Pit.Storage,RES10 Chalk Creek.Storage,Protected Pools.Pineview,Protected Pools.East Canyon,Oakley Diversion:SA1 Weber Provo Diversion Canal.Diversion,Oakley Diversion:SA2 Oakley to Wanship.Diversion,Wanship Diversion:SA3 Wanship to Echo.Diversion,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion,Lost Creek Diversion:SA5 Lost Creek.Diversion,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion,Park City Diversion:SA7 Park City.Diversion,East Canyon Diversion:SA8 East Canyon.Diversion,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion,Gateway Canal Diversion:SA10 Gateway Canal.Diversion,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion,Slaterville Diversion:SA15 Slaterville.Diversion,Warren Canal Diversion:SA16 Warren Canal.Diversion,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion,GSL Minerals Diversion:SA18 GSL Minerals.Diversion,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion,Oakley Diversion:SA1 Weber Provo Diversion Canal.Diversion Requested,Oakley Diversion:SA2 Oakley to Wanship.Diversion Requested,Wanship Diversion:SA3 Wanship to Echo.Diversion Requested,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion Requested,Lost Creek Diversion:SA5 Lost Creek.Diversion Requested,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion Requested,Park City Diversion:SA7 Park City.Diversion Requested,East Canyon Diversion:SA8 East Canyon.Diversion Requested,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion Requested,Gateway Canal Diversion:SA10 Gateway Canal.Diversion Requested,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion Requested,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion Requested,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion Requested,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion Requested,Slaterville Diversion:SA15 Slaterville.Diversion Requested,Warren Canal Diversion:SA16 Warren Canal.Diversion Requested,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion Requested,GSL Minerals Diversion:SA18 GSL Minerals.Diversion Requested,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion Requested,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion Requested,Chalk Creek and Weber River Confluence.Inflow1,Davis Weber Canal Sources Confluence.Inflow1,East Canyon Creek and Weber River Confluence.Inflow1,Independent Streams Confluence.Inflow1,Lost Creek and Weber River Confluence.Inflow1,Ogden and Weber River Confluence.Inflow1,Q11 Reach Gain Confluence.Inflow1,Q20 Reach Gain Confluence.Inflow1,Q37 Reach Gain Confluence.Inflow1,Q46 Reach Gain Confluence.Inflow1,Q53 Reach Gain Confluence.Inflow1,Q57 Reach Gain Confluence.Inflow1,Q68 Sewage Outfall Confluence.Inflow1,Q8 Reach Gain Confluence.Inflow1,Q81 Reach Gain Confluence.Inflow1,Q82 Reach Gain Confluence.Inflow1,Smith And Morehouse and Weber River Confluence.Inflow1,Wells Confluence.Inflow1,Wheeler Creek and Ogden River Confluence.Inflow1,Willard Bay Releases and Weber River Confluence.Inflow1,Chalk Creek and Weber River Confluence.Inflow2,Davis Weber Canal Sources Confluence.Inflow2,East Canyon Creek and Weber River Confluence.Inflow2,Independent Streams Confluence.Inflow2,Lost Creek and Weber River Confluence.Inflow2,Ogden and Weber River Confluence.Inflow2,Q11 Reach Gain Confluence.Inflow2,Q20 Reach Gain Confluence.Inflow2,Q37 Reach Gain Confluence.Inflow2,Q46 Reach Gain Confluence.Inflow2,Q53 Reach Gain Confluence.Inflow2,Q57 Reach Gain Confluence.Inflow2,Q68 Sewage Outfall Confluence.Inflow2,Q8 Reach Gain Confluence.Inflow2,Q81 Reach Gain Confluence.Inflow2,Q82 Reach Gain Confluence.Inflow2,Smith And Morehouse and Weber River Confluence.Inflow2,Wells Confluence.Inflow2,Wheeler Creek and Ogden River Confluence.Inflow2,Willard Bay Releases and Weber River Confluence.Inflow2,Chalk Creek and Weber River Confluence.Outflow,Davis Weber Canal Sources Confluence.Outflow,East Canyon Creek and Weber River Confluence.Outflow,Independent Streams Confluence.Outflow,Lost Creek and Weber River Confluence.Outflow,Ogden and Weber River Confluence.Outflow,Q11 Reach Gain Confluence.Outflow,Q20 Reach Gain Confluence.Outflow,Q37 Reach Gain Confluence.Outflow,Q46 Reach Gain Confluence.Outflow,Q53 Reach Gain Confluence.Outflow,Q57 Reach Gain Confluence.Outflow,Q68 Sewage Outfall Confluence.Outflow,Q8 Reach Gain Confluence.Outflow,Q81 Reach Gain Confluence.Outflow,Q82 Reach Gain Confluence.Outflow,Smith And Morehouse and Weber River Confluence.Outflow,Wells Confluence.Outflow,Wheeler Creek and Ogden River Confluence.Outflow,Willard Bay Releases and Weber River Confluence.Outflow,WBWCD ASR.Inflow,WBWCD ASR.Outflow,WBWCD ASR.Percolation,WBWCD ASR.Pumped Flow,WBWCD ASR.Storage
10/1/1980,1948.23896,43346.27699,18803.42008,13261.72052,34138.26593,2514.131848,53288.80502,134019.6467,NaN,NaN,NaN,NaN,1642.862216,81.2,127,19.6,0,0,0,0,0,8485,5295.073747,0,123.8149814,0,3075,232,7260,1197,486,0,1642.862216,81.2,127,19.6,0,0,0,0,0,8485,5775,0,1032,267,3075,232,7260,1197,486,0,5895.767283,5295.073747,3507.418066,8263.824879,3057.418066,479.9262526,3000,3057.418066,3807.418066,965.9262526,600,1814.591998,5492,3357.791839,1079.926253,3548.313646,4631.854055,7173.824879,476.1850186,3455.542907,1715.798536,0,300,221.1751206,450,600,2895.767283,0,4332.333066,5295.073747,1214.591998,0,2000,1902.885794,2375.616655,1943.686354,450,1090,123.8149814,3167.770739,7611.56582,5295.073747,3807.418066,8485,3507.418066,1079.926253,5895.767283,3057.418066,8139.751132,6261,1814.591998,1814.591998,7492,5260.677633,3455.542907,5492,5081.854055,8263.824879,600,6623.313646,NaN,NaN,0,NaN,NaN
11/1/1980,2424.188858,46725.29379,26841.49666,14099.85023,36323.47818,3569.596459,55593.3132,136849.0761,NaN,NaN,NaN,NaN,1620.585734,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,8954,1026,243,0,1620.585734,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,8954,1026,243,0,5873.186474,0,3915.968475,4841.78387,3465.968475,10001.5319,3000,0,4215.968475,5327.340887,600,2181.872059,6954,3305.416815,10809.42935,6954,4476.00255,2911.78387,600,6954,2164.890099,0,300,249.2161301,450,807.8974551,2873.186474,3465.968475,4023.156282,4917.191011,1581.872059,722.6361181,2000,3073.599983,0,0,450,1930,207.8974551,0,8038.076573,0,4215.968475,5091,3915.968475,10809.42935,5873.186474,3465.968475,8239.124757,10244.5319,2181.872059,2904.508177,8954,6379.016799,10809.42935,6954,4926.00255,4841.78387,807.8974551,6954,NaN,NaN,0,NaN,NaN
12/1/1980,3124.365808,51001.00841,38312.53057,15674.92558,38793.28922,4597.467545,57655.09785,144858.3343,NaN,NaN,NaN,NaN,1727.862598,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,3569.5,735.3,243,0,1727.862598,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,3569.5,735.3,243,0,9109.320623,0,2229.614654,4947.202473,1779.614654,9468.928396,3000,0,2529.614654,4008.694478,600,2661.784645,1569.5,3331.502445,10314.0582,1569.5,4609.365043,3187.202473,600,1569.5,2361.713288,0,300,143.7975267,450,845.1298045,6109.320623,1779.614654,4666.282297,5703.233919,2061.784645,0,2000,3944.212173,0,0,450,1760,245.1298045,0,11471.03391,0,2529.614654,5091,2229.614654,10314.0582,9109.320623,1779.614654,7195.896951,9711.928396,2661.784645,2661.784645,3569.5,7275.714618,10314.0582,1569.5,5059.365043,4947.202473,845.1298045,1569.5,NaN,NaN,0,NaN,NaN
1/1/1981,4334.22923,54467.02683,47127.24122,16978.84918,41291.68378,5631.136396,59991.56177,165197.8436,NaN,NaN,NaN,NaN,1576.173658,0,0,0,0,0,0,0,0,3394,0,0,0,0,0,0,1210,684,0,0,1576.173658,0,0,0,0,0,0,0,0,3394,0,0,0,0,0,0,1210,684,0,0,6432.419168,0,5246.233647,3262.366906,4796.233647,14010.01447,3000,0,5546.233647,7995.13322,600,2936.463922,4983.992871,2467.875112,14931.96251,0,3594.04877,2472.366906,600,0,2382.291481,0,300,131.6330938,450,921.9480404,3432.419168,4796.233647,4921.266479,6014.881252,2336.463922,0,2000,3998.143312,6091.546843,4983.992871,450,790,321.9480404,0,8814.710649,0,5546.233647,3394,5246.233647,14931.96251,6432.419168,4796.233647,10467.50013,14010.01447,2936.463922,2936.463922,6983.992871,6466.018424,21023.50935,4983.992871,4044.04877,3262.366906,921.9480404,0,NaN,NaN,0,NaN,NaN
2/1/1981,5259.682984,58396.35712,57001.04705,19217.36189,45478.36464,7387.27729,66482.37381,206375.7397,NaN,NaN,NaN,NaN,1659.182099,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1149.5,684,0,0,1659.182099,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1149.5,684,0,0,6414.33379,0,9066.834756,4867.868236,8616.834756,39752.64153,3000,0,9366.834756,20759.12028,600,7090.812042,0,2945.971144,41861.89603,0,4155.153243,4147.868236,600,0,3459.472042,0,300,223.131764,450,2109.254497,3414.33379,8616.834756,15540.15376,18993.52126,6490.812042,0,2000,3983.359142,0,0,450,720,1509.254497,0,9873.805831,0,9366.834756,5091,9066.834756,41861.89603,6414.33379,8616.834756,24906.98851,39752.64153,7090.812042,7090.812042,2000,6929.330286,41861.89603,0,4605.153243,4867.868236,2109.254497,0,NaN,NaN,0,NaN,NaN
3/1/1981,7770.404495,61260,73940,22510,51200,7870,110150,247302,NaN,NaN,NaN,NaN,3533.071633,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1210,684,0,0,3533.071633,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1210,684,0,0,31026.14304,0,52352.67479,4833.51931,50847.15861,119299.156,14903.74996,24785.32029,60886.53956,84876.78132,6572.668001,22996.31212,63535.44414,5733.1123,125023.0474,63535.44414,8816.183933,4173.51931,2411.763228,63535.44414,10698.1302,0,8533.86477,257.4806898,1505.516174,5723.891476,16122.39308,26061.83833,28163.76107,34422.37465,16423.64411,23083.0773,2000,12034.28054,0,0,450,660,3312.128248,0,41724.27324,0,60886.53956,5091,52352.67479,125023.0474,31026.14304,50847.15861,89050.30063,119299.156,22996.31212,46079.38942,65535.44414,17767.39284,125023.0474,63535.44414,9266.183933,4833.51931,5723.891476,63535.44414,NaN,NaN,0,NaN,NaN
4/1/1981,8350,61260,73940,22510,51200,7870,110150,247302,NaN,NaN,66150,22400,1589.86666,0,0,0,0,249,66,130,0,8485,1650,0,344,267,1025,0,6594.5,684,0,0,1589.86666,0,0,0,0,249,66,130,0,8485,1650,0,344,267,1025,0,6594.5,684,0,0,150691.2216,1650,405444.6187,8032.52091,372236.3674,534806.1654,56434.28954,186435.6447,438448.7301,479311.1894,28196.95733,85210.37624,629575.3806,46652.1503,690104.5128,629575.3806,34198.16272,5892.52091,149091.853,630600.3806,35831.72304,0,33004.11138,452.4790903,33457.25133,155298.3475,94256.93208,185800.7227,46754.98029,57144.97591,57013.41891,64397.91672,2000,9912.037533,0,0,14043.85423,2140,6473.494538,0,186522.9447,1650,438448.7301,8485,405693.6187,690104.5128,150691.2216,372236.3674,485203.7104,536456.1654,85210.37624,149608.293,631575.3806,56564.18783,690104.5128,629575.3806,48242.01696,8032.52091,155565.3475,630600.3806,NaN,NaN,0,NaN,NaN
5/1/1981,8350,49199.56536,73940,22510,51200,7870,110150,247302,NaN,NaN,66150,22400,13715.95054,10962,1905,1862,1548,4482,1320,2600,216,15273,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,13715.95054,10962,1905,1862,1548,4482,1320,2600,216,15273,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,43518.04324,10725,97843.28044,14791.13863,95968.20313,153428.3212,39935.53224,61051.45576,106350.8015,126453.5591,17680.58664,22481.79801,116930.9276,21013.46459,191743.5309,116930.9276,33447.61381,13111.13863,39830.50405,130255.9276,19686.41252,0,8507.521023,481.8613678,6357.077308,38315.20972,3582.510996,34916.74737,33429.89624,40858.76208,9873.21137,21707.50604,2000,10286.97364,0,0,12243.80132,1680,2489.705669,0,63204.45576,10725,106350.8015,15273,102325.2804,191743.5309,43518.04324,95968.20313,139780.6977,167312.3212,27553.79801,44189.30405,118930.9276,31300.43823,191743.5309,116930.9276,45691.41513,14791.13863,42320.20972,130255.9276,NaN,NaN,0,NaN,NaN
6/1/1981,3179.870454,43264.34526,48275.86693,20563.72103,42278.19644,1008.315977,85467.73572,236432.5762,NaN,NaN,52600.50759,19325.90218,3724.368831,13804,2921,2352,1806,5727,1650,3250,504,23758,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,3724.368831,13804,2921,2352,1806,5727,1650,3250,504,23758,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,3000,14025,25399.90602,23144.90333,31126.90602,5862.451483,3000,25800.70128,31262.35751,16341.90297,6828.439089,9.33195E-13,6587.5,0,18366.67732,3164.781442,9416.744098,21094.90333,17844.22584,22550,0,0,5862.451483,613.096674,3.73278E-12,12504.22584,0,5326.204742,6678.448787,8162.548517,462.5609114,71.64914143,5000,1988.698087,4183.322681,3422.718558,8111.624732,2050,0,3164.781442,3000,14025,31262.35751,23758,31126.90602,18366.67732,3000,31126.90602,37940.80629,24504.45148,7291,71.64914143,11587.5,1988.698087,22550,6587.5,17528.36883,23144.90333,17844.22584,25714.78144,NaN,NaN,0,NaN,NaN
7/1/1981,750.9999999,38246.35713,7716.660833,18824.01379,32052.12592,999.9999993,55054.85171,220387.886,NaN,NaN,37005.78531,17412.54674,1998.126746,7033.551369,2921,2058,2236,5229,1320,2600,414,33940,18975,2878.05964,8944,6141,22550,5800,4900.5,3078,6075,0,1998.126746,8932,2921,2058,2236,5229,1320,2600,414,33940,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,3729.085643,18975,37464.02941,33606.78639,42693.02941,8328.783664,3000,42693.02941,45792.81308,22732.56733,1945.397336,0,5700.5,0,23350,5700.5,5790.637563,31356.78639,21004.25354,23350,941.4382674,0,8328.783664,333.2136139,0,15021.21634,729.0856426,0,8710.540639,10646.21634,932.6623039,883.435161,5000,2710.900567,0,0,3241.040552,2250,157.9627926,4900.5,4670.52391,18975,45792.81308,33940,42693.02941,23350,3729.085643,42693.02941,54503.35371,33378.78366,2878.05964,883.435161,10700.5,2710.900567,23350,5700.5,9031.678115,33606.78639,21162.21634,28250.5,NaN,NaN,0,NaN,NaN
