,RES1 Smith And Morehouse.Storage,RES2 Rockport.Storage,RES3 Echo.Storage,RES4 Lost Creek.Storage,RES5 East Canyon.Storage,RES6 Causey.Storage,RES7 Pineview.Storage,RES8 Willard Bay.Storage,RES9 Gravel Pit.Storage,RES10 Chalk Creek.Storage,Protected Pools.Pineview,Protected Pools.East Canyon,Oakley Diversion:SA1 Weber Provo Diversion Canal.Diversion,Oakley Diversion:SA2 Oakley to Wanship.Diversion,Wanship Diversion:SA3 Wanship to Echo.Diversion,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion,Lost Creek Diversion:SA5 Lost Creek.Diversion,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion,Park City Diversion:SA7 Park City.Diversion,East Canyon Diversion:SA8 East Canyon.Diversion,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion,Gateway Canal Diversion:SA10 Gateway Canal.Diversion,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion,Slaterville Diversion:SA15 Slaterville.Diversion,Warren Canal Diversion:SA16 Warren Canal.Diversion,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion,GSL Minerals Diversion:SA18 GSL Minerals.Diversion,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion,Oakley Diversion:SA1 Weber Provo Diversion Canal.Diversion Requested,Oakley Diversion:SA2 Oakley to Wanship.Diversion Requested,Wanship Diversion:SA3 Wanship to Echo.Diversion Requested,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion Requested,Lost Creek Diversion:SA5 Lost Creek.Diversion Requested,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion Requested,Park City Diversion:SA7 Park City.Diversion Requested,East Canyon Diversion:SA8 East Canyon.Diversion Requested,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion Requested,Gateway Canal Diversion:SA10 Gateway Canal.Diversion Requested,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion Requested,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion Requested,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion Requested,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion Requested,Slaterville Diversion:SA15 Slaterville.Diversion Requested,Warren Canal Diversion:SA16 Warren Canal.Diversion Requested,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion Requested,GSL Minerals Diversion:SA18 GSL Minerals.Diversion Requested,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion Requested,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion Requested,Chalk Creek and Weber River Confluence.Inflow1,Davis Weber Canal Sources Confluence.Inflow1,East Canyon Creek and Weber River Confluence.Inflow1,Independent Streams Confluence.Inflow1,Lost Creek and Weber River Confluence.Inflow1,Ogden and Weber River Confluence.Inflow1,Q11 Reach Gain Confluence.Inflow1,Q20 Reach Gain Confluence.Inflow1,Q37 Reach Gain Confluence.Inflow1,Q46 Reach Gain Confluence.Inflow1,Q53 Reach Gain Confluence.Inflow1,Q57 Reach Gain Confluence.Inflow1,Q68 Sewage Outfall Confluence.Inflow1,Q8 Reach Gain Confluence.Inflow1,Q81 Reach Gain Confluence.Inflow1,Q82 Reach Gain Confluence.Inflow1,Smith And Morehouse and Weber River Confluence.Inflow1,Wells Confluence.Inflow1,Wheeler Creek and Ogden River Confluence.Inflow1,Willard Bay Releases and Weber River Confluence.Inflow1,Chalk Creek and Weber River Confluence.Inflow2,Davis Weber Canal Sources Confluence.Inflow2,East Canyon Creek and Weber River Confluence.Inflow2,Independent Streams Confluence.Inflow2,Lost Creek and Weber River Confluence.Inflow2,Ogden and Weber River Confluence.Inflow2,Q11 Reach Gain Confluence.Inflow2,Q20 Reach Gain Confluence.Inflow2,Q37 Reach Gain Confluence.Inflow2,Q46 Reach Gain Confluence.Inflow2,Q53 Reach Gain Confluence.Inflow2,Q57 Reach Gain Confluence.Inflow2,Q68 Sewage Outfall Confluence.Inflow2,Q8 Reach Gain Confluence.Inflow2,Q81 Reach Gain Confluence.Inflow2,Q82 Reach Gain Confluence.Inflow2,Smith And Morehouse and Weber River Confluence.Inflow2,Wells Confluence.Inflow2,Wheeler Creek and Ogden River Confluence.Inflow2,Willard Bay Releases and Weber River Confluence.Inflow2,Chalk Creek and Weber River Confluence.Outflow,Davis Weber Canal Sources Confluence.Outflow,East Canyon Creek and Weber River Confluence.Outflow,Independent Streams Confluence.Outflow,Lost Creek and Weber River Confluence.Outflow,Ogden and Weber River Confluence.Outflow,Q11 Reach Gain Confluence.Outflow,Q20 Reach Gain Confluence.Outflow,Q37 Reach Gain Confluence.Outflow,Q46 Reach Gain Confluence.Outflow,Q53 Reach Gain Confluence.Outflow,Q57 Reach Gain Confluence.Outflow,Q68 Sewage Outfall Confluence.Outflow,Q8 Reach Gain Confluence.Outflow,Q81 Reach Gain Confluence.Outflow,Q82 Reach Gain Confluence.Outflow,Smith And Morehouse and Weber River Confluence.Outflow,Wells Confluence.Outflow,Wheeler Creek and Ogden River Confluence.Outflow,Willard Bay Releases and Weber River Confluence.Outflow,WBWCD ASR.Inflow,WBWCD ASR.Outflow,WBWCD ASR.Percolation,WBWCD ASR.Pumped Flow,WBWCD ASR.Storage
10/1/1980,1554.069544,42303.93357,16026.71137,12572.28603,33978.30474,1376.019404,53991.38864,134547.2819,NaN,NaN,NaN,NaN,1152,81.2,127,19.6,0,0,0,0,0,8485,4705.978832,0,82.5,1.20538E-13,3075,232,7260,1197,486,0,1152,81.2,127,19.6,0,0,0,0,0,8485,5775,0,1032,267,3075,232,7260,1197,486,0,3922.766865,4705.978832,4503.674851,8189,4053.674851,1069.021168,3000,3597.911241,4803.674851,1555.021168,600,2517.811605,5492,2606.8,1669.021168,3575.926965,3433.000284,7099,517.5,4010.888211,1450,0,300,296,450,600,922.7668648,455.7636104,3850.346317,4705.978832,1917.811605,0,2000,1610.969347,2341.867043,1916.073035,406.9997157,1090,82.5,2640.038754,5372.766865,4705.978832,4803.674851,8485,4503.674851,1669.021168,3922.766865,4053.674851,8654.021168,6261,2517.811605,2517.811605,7492,4217.769347,4010.888211,5492,3840,8189,600,6650.926965,0,0,0,9.64302E-13,1000
11/1/1980,1554.069544,44568.51226,21878.54042,12843.63588,35438.30474,1776.019404,56230.90854,135025.0711,NaN,NaN,NaN,NaN,1101,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,8954,1026,243,0,1101,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,8954,1026,243,0,4496.82905,0,2031.769248,4888,1581.769248,4932.011663,3000,0,2331.769248,1984.328335,600,2037.986289,6954,2569,5593.911663,5665.255127,3253.624999,2958,600,5665.255127,1355,0,300,203,450,661.9,1496.82905,1581.769248,2610.559087,3190.683328,1437.986289,801.5336099,2000,2695.57869,1575.132623,1288.744873,416.375001,1930,61.9,0,5851.82905,0,2331.769248,5091,2031.769248,5593.911663,4496.82905,1581.769248,4942.328335,5175.011663,2037.986289,2839.519899,8954,5264.57869,7169.044286,6954,3670,4888,661.9,5665.255127,0,0,0,0,1000
12/1/1980,1581.852171,47534.78888,27833.2071,13380.05676,37160.30474,2236.019404,57947.23386,140500.2489,NaN,NaN,NaN,NaN,1068,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,3569.5,735.3,243,0,1068,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,3569.5,735.3,243,0,4655.666681,0,2095.135437,4701,1645.135437,5085.988624,3000,0,2395.135437,2097.819371,600,2245.299762,1569.5,2464.217373,5747.788624,655.0148516,3082.217373,2941,600,655.0148516,1299,0,300,390,450,661.8,1655.666681,1645.135437,2643.683934,3231.169253,1645.299762,71.0255572,2000,3502.059252,1117.70407,914.4851484,450,1760,61.8,0,5954.666681,0,2395.135437,5091,2095.135437,5747.788624,4655.666681,1645.135437,5038.819371,5328.988624,2245.299762,2316.325319,3569.5,5966.276625,6865.492694,1569.5,3532.217373,4701,661.8,655.0148516,0,0,0,0,1000
1/1/1981,1581.852171,49876.21062,32973.16362,13759.95442,38680.30474,2256.019404,60588.61191,149678.2514,NaN,NaN,NaN,NaN,912,0,0,0,0,0,0,0,0,3394,0,0,0,0,0,0,1210,684,0,0,912,0,0,0,0,0,0,0,0,3394,0,0,0,0,0,0,1210,684,0,0,4094.956512,0,2630.122514,3102,2180.122514,4574.846603,3000,0,2930.122514,2398.648354,600,2543.894185,3794.28212,2128,5224.546603,0,2699.570922,2312,600,0,1045,0,300,292,450,649.7,1094.956512,2180.122514,1780.52584,2176.198249,1943.894185,697.4838659,2000,3213.421737,4637.455924,3794.28212,340.4290783,790,49.7,0,5139.956512,0,2930.122514,3394,2630.122514,5224.546603,4094.956512,2180.122514,4710.648354,4574.846603,2543.894185,3241.37805,5794.28212,5341.421737,9862.002527,3794.28212,3040,3102,649.7,0,0,0,0,0,1000
2/1/1981,1581.852171,51741.81369,38169.65853,14102.9708,40209.30474,2276.019404,63387.08293,157731.7279,NaN,NaN,NaN,NaN,825,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1149.5,684,0,0,825,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1149.5,684,0,0,3928.494915,0,2294.032433,4869,1844.032433,3335.91806,3000,0,2594.032433,645.9309652,600,2393.587793,3886.984122,1925,3986.71806,0,2427.836626,4149,600,0,1268,0,300,222,450,650.8,928.494915,1844.032433,2200.898532,2689.987095,1793.587793,1004.883228,2000,2940.603073,4750.758371,3886.984122,322.1633743,720,50.8,0,5196.494915,0,2594.032433,5091,2294.032433,3986.71806,3928.494915,1844.032433,4794.930965,3335.91806,2393.587793,3398.47102,5886.984122,4865.603073,8737.476431,3886.984122,2750,4869,650.8,0,0,0,0,0,1000
3/1/1981,1581.852171,56614.19299,43962.23232,14737.14128,42535.30474,2406.019404,74348.70601,174043.4532,NaN,NaN,NaN,NaN,981,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1210,684,0,0,981,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1210,684,0,0,4068.573791,0,4528.038055,4841,4078.038055,6791.575651,3000,0,4828.038055,3771.782452,600,4192.704592,7886.752187,2289,7553.975651,0,2963.794301,4181,600,0,1724,0,300,250,450,762.4,1068.573791,4078.038055,3124.744398,3819.132042,3592.704592,7368.918482,2000,5583.379295,9639.363785,7886.752187,306.2056987,660,162.4,0,5792.573791,0,4828.038055,5091,4528.038055,7553.975651,4068.573791,4078.038055,7952.782452,7590.914494,4192.704592,11561.62307,9886.752187,7872.379295,17193.33944,7886.752187,3270,4841,762.4,0,799.338843,0,0,0,1799.338843
4/1/1981,3683.671561,61260,66695.48514,18511.09196,45889.81839,4331.269444,108082.7764,211513.1368,NaN,NaN,64083.47617,17089.81839,1114.83871,0,0,0,0,249,66,130,0,8485,1650,0,344,267,1025,0,6594.5,684,0,0,1114.83871,0,0,0,0,249,66,130,0,8485,1650,0,344,267,1025,0,6594.5,684,0,0,15462.9653,1650,25379.47258,7930,25178.47258,25402.70232,9764.001405,0,25549.47258,23389.52514,600,14033.07289,11998.02306,8153.3419,26002.70232,1.74974E-12,8818.18061,5790,256.7,1025,7345,0,170,555,450,600,5698.9639,25178.47258,3630.052553,4436.730898,13433.07289,20458.39893,2000,6384.94991,14664.25041,11998.02306,450,2140,610.3,0,22807.9653,1650,25549.47258,8485,25628.47258,26002.70232,15462.9653,25178.47258,29179.52514,27826.25604,14033.07289,34491.47183,13998.02306,14538.29181,40666.95272,11998.02306,9268.18061,7930,867,1025,773.553719,0,0,0,2572.892562
5/1/1981,8350.000002,53018.50004,73940,18736.07926,47582.53085,5331.074381,110150,247302,NaN,NaN,66150,18780.55228,9402,10962,1905,1862,1548,4482,1320,2600,216,15273,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,9402,10962,1905,1862,1548,4482,1320,2600,216,15273,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,16670.40386,10725,35533.27644,14924,40015.27644,47320.4015,16670.40386,21545.61786,35533.27644,40041.9852,600,8067.088022,11200.5,6284.622991,60821.58397,4335.082566,22553.52707,13244,15528.68247,17660.08257,14265,0,0,349,1.9286E-12,13501.18247,0,18469.65858,17968.70876,21961.75515,12539.08802,13885.07653,2000,5573.775176,8391.065753,6865.417434,4095.095917,1680,1977.5,0,30935.40386,10725,35533.27644,15273,40015.27644,60821.58397,16670.40386,40015.27644,53501.9852,62003.74034,13139.08802,21952.16455,13200.5,11858.39817,69212.64973,11200.5,26648.62299,14924,17506.18247,17660.08257,799.338843,0,0,1.9286E-12,3372.231405
6/1/1981,8350,49298.30397,73940,18917.07507,47737.32724,6057.450245,106871.2488,243547.8195,NaN,NaN,66150,18932.38147,13101,13804,2921,2352,1806,5727,1650,3250,504,23758,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,13101,13804,2921,2352,1806,5727,1650,3250,504,23758,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,26161.71838,14025,34956.99475,23152,40683.99475,13700.5357,23757.90713,31144.26838,34956.99475,22245.28735,600,622.4430565,9982.752707,16700.04001,14300.5357,0,32841.38036,21102,4963.1,22550,7902,0,0,606,0,600,2403.811246,9539.726373,8894.292598,10870.80206,7313.443057,8022.905387,5000,8282.969609,12201.1422,9982.752707,10763.65965,2050,976.9,0,34063.71838,14025,34956.99475,23758,40683.99475,14300.5357,26161.71838,40683.99475,43851.28735,33116.08941,7913.443057,8645.348444,14982.75271,24983.00962,26501.67789,9982.752707,43605.04001,23152,5940,22550,773.553719,0,0,0,4145.785124
7/1/1981,5117.677574,44610.0512,23351.36927,17243.17215,30872.6848,1444.372465,89464.15456,232362.6264,NaN,NaN,63612.71388,16542.09912,2481,8932,2921,2058,2236,5229,1320,2600,414,33940,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,2481,8932,2921,2058,2236,5229,1320,2600,414,33940,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,3579.907666,18975,48774.26724,33667,54003.26724,13716.95814,3000,53060.31479,63290.56422,35107.59396,6195.124729,0,5700.5,0,15626.96438,36.19812959,6998.031697,31417,7886.606243,22550,1617,0,14516.29698,273,0,1910.006243,579.9076655,942.9524435,3648.029743,4458.703019,1444.575271,1032.257699,5000,3082.610909,6923.035619,5664.30187,4414.968303,2250,164.4,36.19812959,5196.907666,18975,63290.56422,33940,54003.26724,15626.96438,3579.907666,54003.26724,66938.59396,39566.29698,7639.7,1032.257699,10700.5,3082.610909,22550,5700.5,11413,33667,8051.006243,22586.19813,799.338843,0,0,0,4945.123967
