#
#
# US Geological Survey, Water Resources Data
# retrieved: 2016-08-08 22:19:35 -04:00	(natwebsdas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        10011500     00060          BEAR RIVER NEAR UTAH-WYOMING STATE LINE
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	year_nu	month_nu	mean_va
5s	15s	5s	10n	15s	4s	2s	12n
USGS	10011500	00060	143377		1942	10	43.9
USGS	10011500	00060	143377		1942	11	48.7
USGS	10011500	00060	143377		1942	12	34.0
USGS	10011500	00060	143377		1943	1	30.0
USGS	10011500	00060	143377		1943	2	36.2
USGS	10011500	00060	143377		1943	3	46.2
USGS	10011500	00060	143377		1943	4	297.1
USGS	10011500	00060	143377		1943	5	626.4
USGS	10011500	00060	143377		1943	6	670.1
USGS	10011500	00060	143377		1943	7	275.0
USGS	10011500	00060	143377		1943	8	97.9
USGS	10011500	00060	143377		1943	9	38.8
USGS	10011500	00060	143377		1943	10	52.0
USGS	10011500	00060	143377		1943	11	45.7
USGS	10011500	00060	143377		1943	12	39.0
USGS	10011500	00060	143377		1944	1	37.0
USGS	10011500	00060	143377		1944	2	36.0
USGS	10011500	00060	143377		1944	3	31.1
USGS	10011500	00060	143377		1944	4	37.2
USGS	10011500	00060	143377		1944	5	695.8
USGS	10011500	00060	143377		1944	6	982.5
USGS	10011500	00060	143377		1944	7	390.2
USGS	10011500	00060	143377		1944	8	62.9
USGS	10011500	00060	143377		1944	9	35.1
USGS	10011500	00060	143377		1944	10	51.3
USGS	10011500	00060	143377		1944	11	36.3
USGS	10011500	00060	143377		1944	12	28.1
USGS	10011500	00060	143377		1945	1	30.1
USGS	10011500	00060	143377		1945	2	30.0
USGS	10011500	00060	143377		1945	3	30.5
USGS	10011500	00060	143377		1945	4	53.6
USGS	10011500	00060	143377		1945	5	531.6
USGS	10011500	00060	143377		1945	6	674.1
USGS	10011500	00060	143377		1945	7	365.7
USGS	10011500	00060	143377		1945	8	144.6
USGS	10011500	00060	143377		1945	9	70.5
USGS	10011500	00060	143377		1945	10	54.6
USGS	10011500	00060	143377		1945	11	61.3
USGS	10011500	00060	143377		1945	12	48.0
USGS	10011500	00060	143377		1946	1	43.7
USGS	10011500	00060	143377		1946	2	42.0
USGS	10011500	00060	143377		1946	3	45.7
USGS	10011500	00060	143377		1946	4	316.2
USGS	10011500	00060	143377		1946	5	633.3
USGS	10011500	00060	143377		1946	6	599.5
USGS	10011500	00060	143377		1946	7	145.2
USGS	10011500	00060	143377		1946	8	59.2
USGS	10011500	00060	143377		1946	9	39.4
USGS	10011500	00060	143377		1946	10	54.5
USGS	10011500	00060	143377		1946	11	54.3
USGS	10011500	00060	143377		1946	12	47.5
USGS	10011500	00060	143377		1947	1	40.0
USGS	10011500	00060	143377		1947	2	42.0
USGS	10011500	00060	143377		1947	3	45.3
USGS	10011500	00060	143377		1947	4	118.8
USGS	10011500	00060	143377		1947	5	903.7
USGS	10011500	00060	143377		1947	6	877.1
USGS	10011500	00060	143377		1947	7	382.3
USGS	10011500	00060	143377		1947	8	105.4
USGS	10011500	00060	143377		1947	9	54.9
USGS	10011500	00060	143377		1947	10	52.9
USGS	10011500	00060	143377		1947	11	53.6
USGS	10011500	00060	143377		1947	12	45.3
USGS	10011500	00060	143377		1948	1	36.6
USGS	10011500	00060	143377		1948	2	36.0
USGS	10011500	00060	143377		1948	3	43.2
USGS	10011500	00060	143377		1948	4	77.8
USGS	10011500	00060	143377		1948	5	842.7
USGS	10011500	00060	143377		1948	6	578.3
USGS	10011500	00060	143377		1948	7	100.0
USGS	10011500	00060	143377		1948	8	55.0
USGS	10011500	00060	143377		1948	9	31.7
USGS	10011500	00060	143377		1948	10	33.6
USGS	10011500	00060	143377		1948	11	40.0
USGS	10011500	00060	143377		1948	12	37.9
USGS	10011500	00060	143377		1949	1	33.5
USGS	10011500	00060	143377		1949	2	32.0
USGS	10011500	00060	143377		1949	3	34.4
USGS	10011500	00060	143377		1949	4	137.0
USGS	10011500	00060	143377		1949	5	563.2
USGS	10011500	00060	143377		1949	6	861.0
USGS	10011500	00060	143377		1949	7	256.1
USGS	10011500	00060	143377		1949	8	76.6
USGS	10011500	00060	143377		1949	9	43.2
USGS	10011500	00060	143377		1949	10	57.6
USGS	10011500	00060	143377		1949	11	45.5
USGS	10011500	00060	143377		1949	12	40.3
USGS	10011500	00060	143377		1950	1	35.2
USGS	10011500	00060	143377		1950	2	32.3
USGS	10011500	00060	143377		1950	3	37.7
USGS	10011500	00060	143377		1950	4	109.5
USGS	10011500	00060	143377		1950	5	582.0
USGS	10011500	00060	143377		1950	6	1264
USGS	10011500	00060	143377		1950	7	402.2
USGS	10011500	00060	143377		1950	8	75.8
USGS	10011500	00060	143377		1950	9	59.7
USGS	10011500	00060	143377		1950	10	59.0
USGS	10011500	00060	143377		1950	11	60.3
USGS	10011500	00060	143377		1950	12	50.6
USGS	10011500	00060	143377		1951	1	44.8
USGS	10011500	00060	143377		1951	2	44.1
USGS	10011500	00060	143377		1951	3	38.9
USGS	10011500	00060	143377		1951	4	99.3
USGS	10011500	00060	143377		1951	5	630.0
USGS	10011500	00060	143377		1951	6	852.8
USGS	10011500	00060	143377		1951	7	353.9
USGS	10011500	00060	143377		1951	8	132.8
USGS	10011500	00060	143377		1951	9	48.0
USGS	10011500	00060	143377		1951	10	80.5
USGS	10011500	00060	143377		1951	11	57.0
USGS	10011500	00060	143377		1951	12	51.5
USGS	10011500	00060	143377		1952	1	43.5
USGS	10011500	00060	143377		1952	2	44.1
USGS	10011500	00060	143377		1952	3	44.3
USGS	10011500	00060	143377		1952	4	151.4
USGS	10011500	00060	143377		1952	5	994.7
USGS	10011500	00060	143377		1952	6	1210
USGS	10011500	00060	143377		1952	7	365.0
USGS	10011500	00060	143377		1952	8	131.1
USGS	10011500	00060	143377		1952	9	67.2
USGS	10011500	00060	143377		1952	10	51.8
USGS	10011500	00060	143377		1952	11	45.0
USGS	10011500	00060	143377		1952	12	45.2
USGS	10011500	00060	143377		1953	1	42.3
USGS	10011500	00060	143377		1953	2	41.9
USGS	10011500	00060	143377		1953	3	45.1
USGS	10011500	00060	143377		1953	4	86.7
USGS	10011500	00060	143377		1953	5	291.0
USGS	10011500	00060	143377		1953	6	1172
USGS	10011500	00060	143377		1953	7	263.4
USGS	10011500	00060	143377		1953	8	94.4
USGS	10011500	00060	143377		1953	9	31.6
USGS	10011500	00060	143377		1953	10	34.7
USGS	10011500	00060	143377		1953	11	42.2
USGS	10011500	00060	143377		1953	12	39.0
USGS	10011500	00060	143377		1954	1	38.0
USGS	10011500	00060	143377		1954	2	40.0
USGS	10011500	00060	143377		1954	3	40.6
USGS	10011500	00060	143377		1954	4	128.7
USGS	10011500	00060	143377		1954	5	555.5
USGS	10011500	00060	143377		1954	6	263.4
USGS	10011500	00060	143377		1954	7	99.5
USGS	10011500	00060	143377		1954	8	37.5
USGS	10011500	00060	143377		1954	9	37.0
USGS	10011500	00060	143377		1954	10	32.0
USGS	10011500	00060	143377		1954	11	32.5
USGS	10011500	00060	143377		1954	12	33.0
USGS	10011500	00060	143377		1955	1	31.6
USGS	10011500	00060	143377		1955	2	31.0
USGS	10011500	00060	143377		1955	3	30.9
USGS	10011500	00060	143377		1955	4	56.4
USGS	10011500	00060	143377		1955	5	609.4
USGS	10011500	00060	143377		1955	6	556.2
USGS	10011500	00060	143377		1955	7	109.5
USGS	10011500	00060	143377		1955	8	62.9
USGS	10011500	00060	143377		1955	9	33.8
USGS	10011500	00060	143377		1955	10	32.6
