#
#
# US Geological Survey, Water Resources Data
# retrieved: 2016-08-08 22:19:34 -04:00	(natwebsdas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        10109001     00060          COM F LOGAN R AB ST D AND CACHE HL CAN NR LOGAN UT
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	year_nu	month_nu	mean_va
5s	15s	5s	10n	15s	4s	2s	12n
USGS	10109001	00060	143454		1921	10	203.5
USGS	10109001	00060	143454		1921	11	164.4
USGS	10109001	00060	143454		1921	12	161.2
USGS	10109001	00060	143454		1922	1	142.1
USGS	10109001	00060	143454		1922	2	133.8
USGS	10109001	00060	143454		1922	3	143.8
USGS	10109001	00060	143454		1922	4	218.6
USGS	10109001	00060	143454		1922	5	820.9
USGS	10109001	00060	143454		1922	6	1014
USGS	10109001	00060	143454		1922	7	439.5
USGS	10109001	00060	143454		1922	8	288.7
USGS	10109001	00060	143454		1922	9	243.5
USGS	10109001	00060	143454		1922	10	190.8
USGS	10109001	00060	143454		1922	11	142.7
USGS	10109001	00060	143454		1922	12	124.6
USGS	10109001	00060	143454		1923	1	134.5
USGS	10109001	00060	143454		1923	2	114.1
USGS	10109001	00060	143454		1923	3	110.8
USGS	10109001	00060	143454		1923	4	262.7
USGS	10109001	00060	143454		1923	5	974.9
USGS	10109001	00060	143454		1923	6	833.6
USGS	10109001	00060	143454		1923	7	459.3
USGS	10109001	00060	143454		1923	8	252.7
USGS	10109001	00060	143454		1923	9	187.6
USGS	10109001	00060	143454		1923	10	203.8
USGS	10109001	00060	143454		1923	11	185.4
USGS	10109001	00060	143454		1923	12	152.5
USGS	10109001	00060	143454		1924	1	147.9
USGS	10109001	00060	143454		1924	2	137.2
USGS	10109001	00060	143454		1924	3	119.9
USGS	10109001	00060	143454		1924	4	324.0
USGS	10109001	00060	143454		1924	5	676.0
USGS	10109001	00060	143454		1924	6	359.5
USGS	10109001	00060	143454		1924	7	225.2
USGS	10109001	00060	143454		1924	8	172.3
USGS	10109001	00060	143454		1924	9	148.1
USGS	10109001	00060	143454		1924	10	142.2
USGS	10109001	00060	143454		1924	11	120.8
USGS	10109001	00060	143454		1924	12	108.5
USGS	10109001	00060	143454		1925	1	104.6
USGS	10109001	00060	143454		1925	2	102.0
USGS	10109001	00060	143454		1925	3	117.4
USGS	10109001	00060	143454		1925	4	264.8
USGS	10109001	00060	143454		1925	5	684.9
USGS	10109001	00060	143454		1925	6	511.2
USGS	10109001	00060	143454		1925	7	302.4
USGS	10109001	00060	143454		1925	8	204.5
USGS	10109001	00060	143454		1925	9	171.1
USGS	10109001	00060	143454		1925	10	141.9
USGS	10109001	00060	143454		1925	11	129.5
USGS	10109001	00060	143454		1925	12	116.8
USGS	10109001	00060	143454		1926	1	107.3
USGS	10109001	00060	143454		1926	2	105.8
USGS	10109001	00060	143454		1926	3	129.9
USGS	10109001	00060	143454		1926	4	298.0
USGS	10109001	00060	143454		1926	5	465.9
USGS	10109001	00060	143454		1926	6	287.2
USGS	10109001	00060	143454		1926	7	189.1
USGS	10109001	00060	143454		1926	8	147.8
USGS	10109001	00060	143454		1926	9	129.7
USGS	10109001	00060	143454		1926	10	118.8
USGS	10109001	00060	143454		1926	11	111.2
USGS	10109001	00060	143454		1926	12	101.2
USGS	10109001	00060	143454		1927	1	98.9
USGS	10109001	00060	143454		1927	2	96.8
USGS	10109001	00060	143454		1927	3	109.2
USGS	10109001	00060	143454		1927	4	234.2
USGS	10109001	00060	143454		1927	5	577.1
USGS	10109001	00060	143454		1927	6	801.1
USGS	10109001	00060	143454		1927	7	407.4
USGS	10109001	00060	143454		1927	8	243.0
USGS	10109001	00060	143454		1927	9	194.9
USGS	10109001	00060	143454		1927	10	172.2
USGS	10109001	00060	143454		1927	11	171.1
