# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-04-06 11:49:27 -04:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10128500 WEBER RIVER NEAR OAKLEY, UT
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 10128500
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    143489      00060        00003      144284         Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been edited or estimated by USGS personnel and is write protected.
#     P  Provisional data subject to revision.
#     Ice  Ice affected
#
agency_cd	site_no	datetime	143489_00060_00003	143489_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10128500	1904-10-01	79	A
USGS	10128500	1904-10-02	79	A
USGS	10128500	1904-10-03	79	A
USGS	10128500	1904-10-04	79	A
USGS	10128500	1904-10-05	79	A
USGS	10128500	1904-10-06	79	A
USGS	10128500	1904-10-07	79	A
USGS	10128500	1904-10-08	79	A
USGS	10128500	1904-10-09	79	A
USGS	10128500	1904-10-10	79	A
USGS	10128500	1904-10-11	79	A
USGS	10128500	1904-10-12	79	A
USGS	10128500	1904-10-13	79	A
USGS	10128500	1904-10-14	79	A
USGS	10128500	1904-10-15	79	A
USGS	10128500	1904-10-16	79	A
USGS	10128500	1904-10-17	79	A
USGS	10128500	1904-10-18	79	A
USGS	10128500	1904-10-19	79	A
USGS	10128500	1904-10-20	79	A
USGS	10128500	1904-10-21	79	A
USGS	10128500	1904-10-22	79	A
USGS	10128500	1904-10-23	82	A
USGS	10128500	1904-10-24	82	A
USGS	10128500	1904-10-25	82	A
USGS	10128500	1904-10-26	82	A
USGS	10128500	1904-10-27	82	A
USGS	10128500	1904-10-28	82	A
USGS	10128500	1904-10-29	82	A
USGS	10128500	1904-10-30	82	A
USGS	10128500	1904-10-31	82	A
USGS	10128500	1904-11-01	73	A
USGS	10128500	1904-11-02	73	A
USGS	10128500	1904-11-03	73	A
USGS	10128500	1904-11-04	70	A
USGS	10128500	1904-11-05	73	A
USGS	10128500	1904-11-06	73	A
USGS	10128500	1904-11-07	73	A
USGS	10128500	1904-11-08	73	A
USGS	10128500	1904-11-09	73	A
USGS	10128500	1904-11-10	73	A
USGS	10128500	1904-11-11	73	A
USGS	10128500	1904-11-12	73	A
USGS	10128500	1904-11-13	73	A
USGS	10128500	1904-11-14	100	A
USGS	10128500	1904-11-15	100	A
USGS	10128500	1904-11-16	66	A
USGS	10128500	1904-11-17	66	A
USGS	10128500	1904-11-18	66	A
USGS	10128500	1904-11-19	66	A
USGS	10128500	1904-11-20	66	A
USGS	10128500	1904-11-21	66	A
USGS	10128500	1904-11-22	66	A
USGS	10128500	1904-11-23	66	A
USGS	10128500	1904-11-24	66	A
USGS	10128500	1904-11-25	66	A
USGS	10128500	1904-11-26	66	A
USGS	10128500	1904-11-27	65	A
USGS	10128500	1904-11-28	64	A
USGS	10128500	1904-11-29	63	A
USGS	10128500	1904-11-30	62	A
USGS	10128500	1904-12-01	60	A
USGS	10128500	1904-12-02	60	A
USGS	10128500	1904-12-03	60	A
USGS	10128500	1904-12-04	60	A
USGS	10128500	1904-12-05	60	A
USGS	10128500	1904-12-06	60	A
USGS	10128500	1904-12-07	60	A
USGS	10128500	1904-12-08	60	A
USGS	10128500	1904-12-09	60	A
USGS	10128500	1904-12-10	60	A
USGS	10128500	1904-12-11	60	A
USGS	10128500	1904-12-12	60	A
USGS	10128500	1904-12-13	60	A
USGS	10128500	1904-12-14	60	A
USGS	10128500	1904-12-15	60	A
USGS	10128500	1904-12-16	60	A
USGS	10128500	1904-12-17	60	A
USGS	10128500	1904-12-18	60	A
USGS	10128500	1904-12-19	60	A
USGS	10128500	1904-12-20	60	A
USGS	10128500	1904-12-21	60	A
USGS	10128500	1904-12-22	60	A
USGS	10128500	1904-12-23	60	A
USGS	10128500	1904-12-24	60	A
USGS	10128500	1904-12-25	60	A
USGS	10128500	1904-12-26	60	A
USGS	10128500	1904-12-27	60	A
USGS	10128500	1904-12-28	60	A
USGS	10128500	1904-12-29	60	A
USGS	10128500	1904-12-30	60	A
USGS	10128500	1904-12-31	60	A
USGS	10128500	1905-01-01	55	A
USGS	10128500	1905-01-02	55	A
USGS	10128500	1905-01-03	55	A
USGS	10128500	1905-01-04	55	A
USGS	10128500	1905-01-05	55	A
USGS	10128500	1905-01-06	55	A
USGS	10128500	1905-01-07	55	A
USGS	10128500	1905-01-08	55	A
USGS	10128500	1905-01-09	55	A
USGS	10128500	1905-01-10	55	A
USGS	10128500	1905-01-11	55	A
USGS	10128500	1905-01-12	55	A
USGS	10128500	1905-01-13	55	A
USGS	10128500	1905-01-14	55	A
USGS	10128500	1905-01-15	55	A
USGS	10128500	1905-01-16	55	A
USGS	10128500	1905-01-17	55	A
USGS	10128500	1905-01-18	55	A
USGS	10128500	1905-01-19	55	A
USGS	10128500	1905-01-20	55	A
USGS	10128500	1905-01-21	55	A
USGS	10128500	1905-01-22	55	A
USGS	10128500	1905-01-23	55	A
USGS	10128500	1905-01-24	55	A
USGS	10128500	1905-01-25	55	A
USGS	10128500	1905-01-26	55	A
USGS	10128500	1905-01-27	55	A
USGS	10128500	1905-01-28	55	A
USGS	10128500	1905-01-29	55	A
USGS	10128500	1905-01-30	55	A
USGS	10128500	1905-01-31	55	A
USGS	10128500	1905-02-01	53	A
USGS	10128500	1905-02-02	53	A
USGS	10128500	1905-02-03	53	A
USGS	10128500	1905-02-04	53	A
USGS	10128500	1905-02-05	53	A
USGS	10128500	1905-02-06	53	A
USGS	10128500	1905-02-07	53	A
USGS	10128500	1905-02-08	53	A
USGS	10128500	1905-02-09	53	A
USGS	10128500	1905-02-10	53	A
USGS	10128500	1905-02-11	53	A
USGS	10128500	1905-02-12	53	A
USGS	10128500	1905-02-13	53	A
USGS	10128500	1905-02-14	53	A
USGS	10128500	1905-02-15	53	A
USGS	10128500	1905-02-16	53	A
USGS	10128500	1905-02-17	53	A
USGS	10128500	1905-02-18	53	A
USGS	10128500	1905-02-19	53	A
USGS	10128500	1905-02-20	53	A
USGS	10128500	1905-02-21	53	A
USGS	10128500	1905-02-22	53	A
USGS	10128500	1905-02-23	53	A
USGS	10128500	1905-02-24	53	A
USGS	10128500	1905-02-25	53	A
USGS	10128500	1905-02-26	53	A
USGS	10128500	1905-02-27	53	A
USGS	10128500	1905-02-28	53	A
USGS	10128500	1905-03-01	58	A
USGS	10128500	1905-03-02	58	A
USGS	10128500	1905-03-03	58	A
USGS	10128500	1905-03-04	58	A
USGS	10128500	1905-03-05	58	A
USGS	10128500	1905-03-06	58	A
USGS	10128500	1905-03-07	58	A
USGS	10128500	1905-03-08	58	A
USGS	10128500	1905-03-09	58	A
USGS	10128500	1905-03-10	58	A
USGS	10128500	1905-03-11	58	A
USGS	10128500	1905-03-12	66	A
USGS	10128500	1905-03-13	66	A
USGS	10128500	1905-03-14	66	A
USGS	10128500	1905-03-15	66	A
USGS	10128500	1905-03-16	66	A
USGS	10128500	1905-03-17	66	A
USGS	10128500	1905-03-18	73	A
USGS	10128500	1905-03-19	73	A
USGS	10128500	1905-03-20	73	A
USGS	10128500	1905-03-21	73	A
USGS	10128500	1905-03-22	73	A
USGS	10128500	1905-03-23	66	A
USGS	10128500	1905-03-24	66	A
USGS	10128500	1905-03-25	66	A
USGS	10128500	1905-03-26	66	A
USGS	10128500	1905-03-27	66	A
USGS	10128500	1905-03-28	66	A
USGS	10128500	1905-03-29	66	A
USGS	10128500	1905-03-30	66	A
USGS	10128500	1905-03-31	66	A
USGS	10128500	1905-04-01	66	A
USGS	10128500	1905-04-02	66	A
USGS	10128500	1905-04-03	73	A
USGS	10128500	1905-04-04	82	A
USGS	10128500	1905-04-05	90	A
USGS	10128500	1905-04-06	100	A
USGS	10128500	1905-04-07	100	A
USGS	10128500	1905-04-08	109	A
USGS	10128500	1905-04-09	109	A
USGS	10128500	1905-04-10	100	A
USGS	10128500	1905-04-11	90	A
USGS	10128500	1905-04-12	90	A
USGS	10128500	1905-04-13	90	A
USGS	10128500	1905-04-14	90	A
USGS	10128500	1905-04-15	100	A
USGS	10128500	1905-04-16	100	A
USGS	10128500	1905-04-17	100	A
USGS	10128500	1905-04-18	109	A
USGS	10128500	1905-04-19	120	A
USGS	10128500	1905-04-20	120	A
USGS	10128500	1905-04-21	120	A
USGS	10128500	1905-04-22	120	A
USGS	10128500	1905-04-23	142	A
USGS	10128500	1905-04-24	154	A
USGS	10128500	1905-04-25	167	A
USGS	10128500	1905-04-26	194	A
USGS	10128500	1905-04-27	209	A
USGS	10128500	1905-04-28	225	A
USGS	10128500	1905-04-29	241	A
USGS	10128500	1905-04-30	241	A
USGS	10128500	1905-05-01	258	A
USGS	10128500	1905-05-02	294	A
USGS	10128500	1905-05-03	294	A
USGS	10128500	1905-05-04	241	A
USGS	10128500	1905-05-05	209	A
USGS	10128500	1905-05-06	180	A
USGS	10128500	1905-05-07	194	A
USGS	10128500	1905-05-08	209	A
USGS	10128500	1905-05-09	209	A
USGS	10128500	1905-05-10	194	A
USGS	10128500	1905-05-11	180	A
USGS	10128500	1905-05-12	180	A
USGS	10128500	1905-05-13	180	A
USGS	10128500	1905-05-14	180	A
USGS	10128500	1905-05-15	180	A
USGS	10128500	1905-05-16	209	A
USGS	10128500	1905-05-17	275	A
USGS	10128500	1905-05-18	352	A
USGS	10128500	1905-05-19	395	A
USGS	10128500	1905-05-20	418	A
USGS	10128500	1905-05-21	441	A
USGS	10128500	1905-05-22	570	A
USGS	10128500	1905-05-23	597	A
USGS	10128500	1905-05-24	597	A
USGS	10128500	1905-05-25	597	A
USGS	10128500	1905-05-26	626	A
USGS	10128500	1905-05-27	626	A
USGS	10128500	1905-05-28	626	A
USGS	10128500	1905-05-29	655	A
USGS	10128500	1905-05-30	736	A
USGS	10128500	1905-05-31	736	A
USGS	10128500	1905-06-01	780	A
USGS	10128500	1905-06-02	882	A
USGS	10128500	1905-06-03	990	A
USGS	10128500	1905-06-04	1070	A
USGS	10128500	1905-06-05	1110	A
USGS	10128500	1905-06-06	1140	A
USGS	10128500	1905-06-07	1230	A
USGS	10128500	1905-06-08	1580	A
USGS	10128500	1905-06-09	1400	A
USGS	10128500	1905-06-10	990	A
USGS	10128500	1905-06-11	954	A
USGS	10128500	1905-06-12	990	A
USGS	10128500	1905-06-13	990	A
USGS	10128500	1905-06-14	990	A
USGS	10128500	1905-06-15	954	A
USGS	10128500	1905-06-16	780	A
USGS	10128500	1905-06-17	716	A
USGS	10128500	1905-06-18	597	A
USGS	10128500	1905-06-19	597	A
USGS	10128500	1905-06-20	655	A
USGS	10128500	1905-06-21	626	A
USGS	10128500	1905-06-22	626	A
USGS	10128500	1905-06-23	597	A
USGS	10128500	1905-06-24	542	A
USGS	10128500	1905-06-25	516	A
USGS	10128500	1905-06-26	441	A
USGS	10128500	1905-06-27	418	A
USGS	10128500	1905-06-28	418	A
USGS	10128500	1905-06-29	352	A
USGS	10128500	1905-06-30	312	A
USGS	10128500	1905-07-01	275	A
