,RES1 Smith And Morehouse.Storage,RES2 Rockport.Storage,RES3 Echo.Storage,RES4 Lost Creek.Storage,RES5 East Canyon.Storage,RES6 Causey.Storage,RES7 Pineview.Storage,RES8 Willard Bay.Storage,RES9 Gravel Pit.Storage,RES10 Chalk Creek.Storage,Protected Pools.Pineview,Protected Pools.East Canyon,Oakley Diversion:SA1 Weber Provo Diversion Canal.Diversion,Oakley Diversion:SA2 Oakley to Wanship.Diversion,Wanship Diversion:SA3 Wanship to Echo.Diversion,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion,Lost Creek Diversion:SA5 Lost Creek.Diversion,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion,Park City Diversion:SA7 Park City.Diversion,East Canyon Diversion:SA8 East Canyon.Diversion,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion,Gateway Canal Diversion:SA10 Gateway Canal.Diversion,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion,Slaterville Diversion:SA15 Slaterville.Diversion,Warren Canal Diversion:SA16 Warren Canal.Diversion,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion,GSL Minerals Diversion:SA18 GSL Minerals.Diversion,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion,Oakley Diversion:SA1 Weber Provo Diversion Canal.Diversion Requested,Oakley Diversion:SA2 Oakley to Wanship.Diversion Requested,Wanship Diversion:SA3 Wanship to Echo.Diversion Requested,Echo to Devils Slide Diversion:SA4 Echo to Devils Slide.Diversion Requested,Lost Creek Diversion:SA5 Lost Creek.Diversion Requested,Devils Slide to Stoddard Diversion:SA6 Devils Slide to Stodard.Diversion Requested,Park City Diversion:SA7 Park City.Diversion Requested,East Canyon Diversion:SA8 East Canyon.Diversion Requested,Stoddard To Gateway Diversion:SA9 Stoddard To Gateway.Diversion Requested,Gateway Canal Diversion:SA10 Gateway Canal.Diversion Requested,Davis Weber Canal Diversion:SA11 Davis Weber Canal.Diversion Requested,Weber Basin Project Ogden Valley:SA12 Weber Basin Project Ogden Valley.Diversion Requested,Ogden Brigham and S Ogden Highline Canals:SA13 Ogden Brigham and S Ogden Highline Canals.Diversion Requested,Ogden River Below Pineview Diversion:SA14 Ogden River Below Pineview.Diversion Requested,Slaterville Diversion:SA15 Slaterville.Diversion Requested,Warren Canal Diversion:SA16 Warren Canal.Diversion Requested,Ogden Bay Bird Refuge Diversion:SA17 Ogden Bay Bird Refuge.Diversion Requested,GSL Minerals Diversion:SA18 GSL Minerals.Diversion Requested,Gateway To Slaterville Diversion:SA19 Gateway To Slaterville.Diversion Requested,Additional WB Demand Diversion:SA20 Additional WB Demand.Diversion Requested,Chalk Creek and Weber River Confluence.Inflow1,Davis Weber Canal Sources Confluence.Inflow1,East Canyon Creek and Weber River Confluence.Inflow1,Independent Streams Confluence.Inflow1,Lost Creek and Weber River Confluence.Inflow1,Ogden and Weber River Confluence.Inflow1,Q11 Reach Gain Confluence.Inflow1,Q20 Reach Gain Confluence.Inflow1,Q37 Reach Gain Confluence.Inflow1,Q46 Reach Gain Confluence.Inflow1,Q53 Reach Gain Confluence.Inflow1,Q57 Reach Gain Confluence.Inflow1,Q68 Sewage Outfall Confluence.Inflow1,Q8 Reach Gain Confluence.Inflow1,Q81 Reach Gain Confluence.Inflow1,Q82 Reach Gain Confluence.Inflow1,Smith And Morehouse and Weber River Confluence.Inflow1,Wells Confluence.Inflow1,Wheeler Creek and Ogden River Confluence.Inflow1,Willard Bay Releases and Weber River Confluence.Inflow1,Chalk Creek and Weber River Confluence.Inflow2,Davis Weber Canal Sources Confluence.Inflow2,East Canyon Creek and Weber River Confluence.Inflow2,Independent Streams Confluence.Inflow2,Lost Creek and Weber River Confluence.Inflow2,Ogden and Weber River Confluence.Inflow2,Q11 Reach Gain Confluence.Inflow2,Q20 Reach Gain Confluence.Inflow2,Q37 Reach Gain Confluence.Inflow2,Q46 Reach Gain Confluence.Inflow2,Q53 Reach Gain Confluence.Inflow2,Q57 Reach Gain Confluence.Inflow2,Q68 Sewage Outfall Confluence.Inflow2,Q8 Reach Gain Confluence.Inflow2,Q81 Reach Gain Confluence.Inflow2,Q82 Reach Gain Confluence.Inflow2,Smith And Morehouse and Weber River Confluence.Inflow2,Wells Confluence.Inflow2,Wheeler Creek and Ogden River Confluence.Inflow2,Willard Bay Releases and Weber River Confluence.Inflow2,Chalk Creek and Weber River Confluence.Outflow,Davis Weber Canal Sources Confluence.Outflow,East Canyon Creek and Weber River Confluence.Outflow,Independent Streams Confluence.Outflow,Lost Creek and Weber River Confluence.Outflow,Ogden and Weber River Confluence.Outflow,Q11 Reach Gain Confluence.Outflow,Q20 Reach Gain Confluence.Outflow,Q37 Reach Gain Confluence.Outflow,Q46 Reach Gain Confluence.Outflow,Q53 Reach Gain Confluence.Outflow,Q57 Reach Gain Confluence.Outflow,Q68 Sewage Outfall Confluence.Outflow,Q8 Reach Gain Confluence.Outflow,Q81 Reach Gain Confluence.Outflow,Q82 Reach Gain Confluence.Outflow,Smith And Morehouse and Weber River Confluence.Outflow,Wells Confluence.Outflow,Wheeler Creek and Ogden River Confluence.Outflow,Willard Bay Releases and Weber River Confluence.Outflow,WBWCD ASR.Inflow,WBWCD ASR.Outflow,WBWCD ASR.Percolation,WBWCD ASR.Pumped Flow,WBWCD ASR.Storage
10/1/1980,1855.078333,43133.3445,18200.19462,13114.82445,34032.22938,2510.197923,53199.94558,134036.8461,NaN,NaN,NaN,NaN,1538.275437,81.2,127,19.6,0,0,0,0,0,8485,5228.895,0,114.280555,0,3075,232,7260,1197,486,0,1538.275437,81.2,127,19.6,0,0,0,0,0,8485,5775,0,1032,267,3075,232,7260,1197,486,0,5557.261176,5228.895,3634.152595,8270.234414,3184.152595,546.1049999,3000,3184.152595,3934.152595,1032.105,600,1725.652115,5492,3206.941857,1146.105,3570.352948,4376.417294,7180.234414,485.719445,3494.78473,1577.289375,0,300,214.7655863,450,600,2557.261176,0,4278.186818,5228.895,1125.652115,0,2000,1840.68789,2348.67973,1921.647052,450,1090,114.280555,3150.568218,7134.550552,5228.895,3934.152595,8485,3634.152595,1146.105,5557.261176,3184.152595,8212.339414,6261,1725.652115,1725.652115,7492,5047.629747,3494.78473,5492,4826.417294,8270.234414,600,6645.352948,NaN,NaN,0,NaN,NaN
11/1/1980,2544.89043,46965.96502,27155.81188,14190.82456,36533.72858,3609.195348,55781.89943,138613.7395,NaN,NaN,NaN,NaN,1838.649357,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,8954,1026,243,0,1838.649357,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,8954,1026,243,0,6424.844092,0,4706.743282,4838.705472,4256.743282,11706.33605,3000,0,5006.743282,6531.122019,600,2473.816585,6954,3600.369735,12556.89337,6954,4989.019092,2908.705472,600,6954,2530.773174,0,300,252.294528,450,850.5573238,3424.844092,4256.743282,4433.084208,5418.214032,1873.816585,708.1372633,2000,3232.250783,0,0,450,1930,250.5573238,0,8955.617266,0,5006.743282,5091,4706.743282,12556.89337,6424.844092,4256.743282,9439.827491,11949.33605,2473.816585,3181.953848,8954,6832.620519,12556.89337,6954,5439.019092,4838.705472,850.5573238,6954,NaN,NaN,0,NaN,NaN
12/1/1980,3010.344356,50784.57398,36701.16267,15403.32083,38678.15458,4585.545232,57551.581,145510.0885,NaN,NaN,NaN,NaN,1497.514216,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,3569.5,735.3,243,0,1497.514216,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,3569.5,735.3,243,0,7548.628332,0,2182.669926,4917.926339,1732.669926,8401.167728,3000,0,2482.669926,3518.484451,600,2369.681575,1569.5,3028.74591,9201.148994,1569.5,4076.260126,3157.926339,600,1569.5,1996.722457,0,300,173.0736608,450,799.9812651,4548.628332,1732.669926,4193.740864,5125.683278,1769.681575,0,2000,3789.863055,0,0,450,1760,199.9812651,0,9545.35079,0,2482.669926,5091,2182.669926,9201.148994,7548.628332,1732.669926,6676.41079,8644.167728,2369.681575,2369.681575,3569.5,6818.608965,9201.148994,1569.5,4526.260126,4917.926339,799.9812651,1569.5,NaN,NaN,0,NaN,NaN
1/1/1981,3724.85015,53869.51944,44136.25371,16360.33569,40774.94418,5527.286267,59452.02604,162150.5346,NaN,NaN,NaN,NaN,1326.821737,0,0,0,0,0,0,0,0,3394,0,0,0,0,0,0,1210,684,0,0,1326.821737,0,0,0,0,0,0,0,0,3394,0,0,0,0,0,0,1210,684,0,0,5525.245583,0,4264.062301,3226.436305,3814.062301,11502.56377,3000,0,4564.062301,6346.347992,600,2500.445035,4076.176164,2381.411592,12342.45306,0,3258.233329,2436.436305,600,0,1909.845458,0,300,167.5636946,450,839.8892949,2525.245583,3814.062301,4218.721996,5156.215773,1900.445035,0,2000,3703.533868,4981.993089,4076.176164,450,790,239.8892949,0,7435.091041,0,4564.062301,3394,4264.062301,12342.45306,5525.245583,3814.062301,8782.784298,11502.56377,2500.445035,2500.445035,6076.176164,6084.945461,17324.44615,4076.176164,3708.233329,3226.436305,839.8892949,0,NaN,NaN,0,NaN,NaN
2/1/1981,4052.246873,56699.65335,51354.28794,17522.58783,43432.59971,6668.910272,62904.49785,183314.2123,NaN,NaN,NaN,NaN,1185.53449,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1149.5,684,0,0,1185.53449,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1149.5,684,0,0,5086.828499,0,5221.245612,4884.762882,4771.245612,20536.61317,3000,0,5521.245612,9987.541426,600,4052.471816,0,2438.850422,21847.67771,0,3174.384912,4164.762882,600,0,2131.205729,0,300,206.2371182,450,1311.064548,2086.828499,4771.245612,8631.058696,10549.07174,3452.471816,0,2000,3391.28348,0,0,450,720,711.0645479,0,7218.034228,0,5521.245612,5091,5221.245612,21847.67771,5086.828499,4771.245612,14152.30431,20536.61317,4052.471816,4052.471816,2000,5830.133901,21847.67771,0,3624.384912,4884.762882,1311.064548,0,NaN,NaN,0,NaN,NaN
3/1/1981,4762.821973,61260,66837.97041,19146.96471,49350.36264,7870,81802.32133,219032.6512,NaN,NaN,NaN,NaN,1802.397222,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1210,684,0,0,1802.397222,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,1210,684,0,0,11257.4856,0,10599.80864,4848.283237,10149.80864,34777.2046,5904.939281,0,10899.80864,19341.08104,1923.599608,8343.233067,0,3495.018417,36601.1225,0,4847.415639,4188.283237,600,0,4226.196869,0,300,242.7167625,450,1823.917894,5352.54632,10149.80864,12629.55564,15436.12356,6419.633459,11154.59041,2000,6970.267518,0,0,450,660,1223.917894,0,15483.68247,0,10899.80864,5091,10599.80864,36601.1225,11257.4856,10149.80864,23529.36428,34777.2046,8343.233067,19497.82348,2000,10465.28594,36601.1225,0,5297.415639,4848.283237,1823.917894,0,NaN,NaN,0,NaN,NaN
4/1/1981,8350,61260,73940,22510,51200,7870,110150,247302,NaN,NaN,66150,22400,1488.653648,0,0,0,0,249,66,130,0,8485,1650,0,344,267,1025,0,6594.5,684,0,0,1488.653648,0,0,0,0,249,66,130,0,8485,1650,0,344,267,1025,0,6594.5,684,0,0,103872.3039,1650,268884.0229,8105.951878,249606.3688,362435.7041,41088.91114,122035.7874,290979.8913,320596.2335,20281.16734,59643.67905,384052.7447,33110.32689,444581.8769,384052.7447,26990.79268,5965.951878,77747.71052,385077.7447,25350.54009,0,22095.86836,379.0481218,19526.65414,82146.17282,62783.39273,127570.5814,35582.29411,43489.47058,39362.51171,46957.48195,2000,8108.482537,0,0,7608.187857,2140,4665.462302,0,129222.844,1650,290979.8913,8485,269133.0229,444581.8769,103872.3039,249606.3688,326562.1854,364085.7041,59643.67905,106601.161,386052.7447,41218.80943,444581.8769,384052.7447,34598.98054,8105.951878,82413.17282,385077.7447,NaN,NaN,0,NaN,NaN
5/1/1981,8350,45654.54836,73940,22510,51200,7870,110150,247302,NaN,NaN,66150,22400,17160.23648,10962,1905,1862,1548,4482,1320,2600,216,15273,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,17160.23648,10962,1905,1862,1548,4482,1320,2600,216,15273,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0,62146.95031,10725,132754.1355,14822.425,127135.9405,194016.5635,54019.61826,83412.07013,143205.3467,164971.0605,21058.64024,29751.19515,168666.3461,29050.13178,243478.9494,168666.3461,42145.52294,13142.425,50639.37044,181991.3461,23418.11982,0,10451.21119,450.5749976,10100.19503,49462.38592,8127.332044,43723.87035,35124.1388,42929.50297,13764.55492,25246.97529,2000,12785.51975,0,0,15026.84532,1680,2828.015486,0,85565.07013,10725,143205.3467,15273,137236.1355,243478.9494,62146.95031,127135.9405,178329.4855,207900.5635,34823.19515,54998.17044,170666.3461,41835.65153,243478.9494,168666.3461,57172.36826,14822.425,53467.38592,181991.3461,NaN,NaN,0,NaN,NaN
6/1/1981,8350,53153.24141,68548.79458,21635.87956,50794.2622,6046.681334,83755.81442,235302.3572,NaN,NaN,47001.70786,21993.58074,10111.72617,13804,2921,2352,1806,5727,1650,3250,504,23758,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,10111.72617,13804,2921,2352,1806,5727,1650,3250,504,23758,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0,3797.379993,14025,13319.35807,23169.22193,19046.35807,1.21315E-11,3000,11350.19382,13319.35807,3821.774877,5577.16798,0,6587.5,9725.067732,19748.29214,4295.193572,25373.59679,21119.22193,24348.06094,22550,5069.842753,0,3.73278E-12,588.7780738,3.73278E-12,19748.29214,797.379993,7696.164248,12125.63874,14820.22512,1713.83202,4859.458848,5000,5711.481493,2801.707856,2292.306428,8267.19711,2050,740.2311993,4295.193572,8867.222746,14025,13319.35807,23758,19046.35807,19748.29214,3797.379993,19046.35807,25444.9968,18642,7291,4859.458848,11587.5,15436.54922,22550,6587.5,33640.7939,23169.22193,25088.29214,26845.19357,NaN,NaN,0,NaN,NaN
7/1/1981,5164.128608,48177.85636,28068.73149,19879.62109,40082.49606,1166.220426,53941.99,219258.2359,NaN,NaN,31994.41741,20115.28111,2500.955364,8932,2921,2058,2236,5229,1320,2600,414,33940,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,2500.955364,8932,2921,2058,2236,5229,1320,2600,414,33940,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0,3791.161849,18975,38445.87631,33619.81963,43674.87631,8861.631175,3000,42767.07516,47307.50749,23798.26235,6784.576007,9.64302E-13,5700.5,0,23350,5700.5,7047.928827,31369.81963,20451.7872,23350,1227.819804,0,8861.631175,320.1803665,0,14488.36883,791.1618492,907.8011576,8274.574493,10113.36883,855.1239926,917.2157247,5000,2819.154813,0,0,4385.026537,2250,177.581624,4900.5,5018.981653,18975,47307.50749,33940,43674.87631,23350,3791.161849,43674.87631,55582.08198,33911.63117,7639.7,917.2157247,10700.5,2819.154813,23350,5700.5,11432.95536,33619.81963,20629.36883,28250.5,NaN,NaN,0,NaN,NaN
