Month,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20
1,,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,1210,684,0,0
2,,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1149.5,684,0,0
3,,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,1210,684,0,0
4,,0,0,0,0,249,66,130,0,5050,1650,0,344,267,1025,0,6594.5,684,0,0
5,,10962,1905,1862,1548,4482,1320,2600,216,9090,10725,5072,3784,4005,13325,3944,9256.5,1539,3159,0
6,,13804,2921,2352,1806,5727,1650,3250,504,14140,14025,7291,5848,5340,22550,4872,6715.5,2223,4617,0
7,,8932,2921,2058,2236,5229,1320,2600,414,20200,18975,7639.7,8944,6141,22550,5800,4900.5,3078,6075,0
8,,4872,2667,1960,1806,4980,1188,2340,378,19190,18150,6657,8600,5874,23575,5104,4900.5,2736,5346,0
9,,2030,2159,1568,1204,4233,1056,2080,288,14140,13200,5072,5848,4806,16400,3248,4779.5,1881,4131,0
10,,81.2,127,19.6,0,0,0,0,0,5050,5775,0,1032,267,3075,232,7260,1197,486,0
11,,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,8954,1026,243,0
12,,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,3569.5,735.3,243,0
